,Manufacturer##other##,Window Type##other##,Nominal Width##length##inches,Nominal Height##length##inches,Design Pressure##other##,Description##other##,Model##other##
CCNTPRYAWN1614,Marvin Windows and Doors,Clad Contemporary Awning,16,14,DP50,1614 AWNG,CCNTPRYAWN1614
CCNTPRYAWN1616,Marvin Windows and Doors,Clad Contemporary Awning,16,16,DP50,1616 AWNG,CCNTPRYAWN1616
CCNTPRYAWN1618,Marvin Windows and Doors,Clad Contemporary Awning,16,18,DP50,1618 AWNG,CCNTPRYAWN1618
CCNTPRYAWN1620,Marvin Windows and Doors,Clad Contemporary Awning,16,20,DP50,1620 AWNG,CCNTPRYAWN1620
CCNTPRYAWN1624,Marvin Windows and Doors,Clad Contemporary Awning,16,24,DP50,1624 AWNG,CCNTPRYAWN1624
CCNTPRYAWN1628,Marvin Windows and Doors,Clad Contemporary Awning,16,28,DP50,1628 AWNG,CCNTPRYAWN1628
CCNTPRYAWN1632,Marvin Windows and Doors,Clad Contemporary Awning,16,32,DP50,1632 AWNG,CCNTPRYAWN1632
CCNTPRYAWN1636,Marvin Windows and Doors,Clad Contemporary Awning,16,36,DP50,1636 AWNG,CCNTPRYAWN1636
CCNTPRYAWN1640,Marvin Windows and Doors,Clad Contemporary Awning,16,40,DP50,1640 AWNG,CCNTPRYAWN1640
CCNTPRYAWN1644,Marvin Windows and Doors,Clad Contemporary Awning,16,44,DP50,1644 AWNG,CCNTPRYAWN1644
CCNTPRYAWN1648,Marvin Windows and Doors,Clad Contemporary Awning,16,48,DP50,1648 AWNG,CCNTPRYAWN1648
CCNTPRYAWN1654,Marvin Windows and Doors,Clad Contemporary Awning,16,54,DP50,1654 AWNG,CCNTPRYAWN1654
CCNTPRYAWN1656,Marvin Windows and Doors,Clad Contemporary Awning,16,56,DP50,1656 AWNG,CCNTPRYAWN1656
CCNTPRYAWN1660,Marvin Windows and Doors,Clad Contemporary Awning,16,60,DP50,1660 AWNG,CCNTPRYAWN1660
CCNTPRYAWN1664,Marvin Windows and Doors,Clad Contemporary Awning,16,64,DP50,1664 AWNG,CCNTPRYAWN1664
CCNTPRYAWN1672,Marvin Windows and Doors,Clad Contemporary Awning,16,72,DP50,1672 AWNG,CCNTPRYAWN1672
CCNTPRYAWN1814,Marvin Windows and Doors,Clad Contemporary Awning,18,14,DP50,1814 AWNG,CCNTPRYAWN1814
CCNTPRYAWN1816,Marvin Windows and Doors,Clad Contemporary Awning,18,16,DP50,1816 AWNG,CCNTPRYAWN1816
CCNTPRYAWN1818,Marvin Windows and Doors,Clad Contemporary Awning,18,18,DP50,1818 AWNG,CCNTPRYAWN1818
CCNTPRYAWN1820,Marvin Windows and Doors,Clad Contemporary Awning,18,20,DP50,1820 AWNG,CCNTPRYAWN1820
CCNTPRYAWN1824,Marvin Windows and Doors,Clad Contemporary Awning,18,24,DP50,1824 AWNG,CCNTPRYAWN1824
CCNTPRYAWN1828,Marvin Windows and Doors,Clad Contemporary Awning,18,28,DP50,1828 AWNG,CCNTPRYAWN1828
CCNTPRYAWN1832,Marvin Windows and Doors,Clad Contemporary Awning,18,32,DP50,1832 AWNG,CCNTPRYAWN1832
CCNTPRYAWN1836,Marvin Windows and Doors,Clad Contemporary Awning,18,36,DP50,1836 AWNG,CCNTPRYAWN1836
