,Manufacturer##other##,Window Type##other##,Nominal Width##length##inches,Nominal Height##length##inches,Design Pressure##other##,Description##other##,Model##other##
CCNTPRYPAWN1614,Marvin Windows and Doors,Clad Contemporary Push Out Awning,16,14,DP50,1614 AWNG,CCNTPRYPAWN1614
CCNTPRYPAWN1616,Marvin Windows and Doors,Clad Contemporary Push Out Awning,16,16,DP50,1616 AWNG,CCNTPRYPAWN1616
CCNTPRYPAWN1618,Marvin Windows and Doors,Clad Contemporary Push Out Awning,16,18,DP50,1618 AWNG,CCNTPRYPAWN1618
CCNTPRYPAWN1620,Marvin Windows and Doors,Clad Contemporary Push Out Awning,16,20,DP50,1620 AWNG,CCNTPRYPAWN1620
CCNTPRYPAWN1624,Marvin Windows and Doors,Clad Contemporary Push Out Awning,16,24,DP50,1624 AWNG,CCNTPRYPAWN1624
CCNTPRYPAWN1628,Marvin Windows and Doors,Clad Contemporary Push Out Awning,16,28,DP50,1628 AWNG,CCNTPRYPAWN1628
CCNTPRYPAWN1632,Marvin Windows and Doors,Clad Contemporary Push Out Awning,16,32,DP50,1632 AWNG,CCNTPRYPAWN1632
CCNTPRYPAWN1636,Marvin Windows and Doors,Clad Contemporary Push Out Awning,16,36,DP50,1636 AWNG,CCNTPRYPAWN1636
CCNTPRYPAWN1640,Marvin Windows and Doors,Clad Contemporary Push Out Awning,16,40,DP50,1640 AWNG,CCNTPRYPAWN1640
CCNTPRYPAWN1644,Marvin Windows and Doors,Clad Contemporary Push Out Awning,16,44,DP50,1644 AWNG,CCNTPRYPAWN1644
CCNTPRYPAWN1648,Marvin Windows and Doors,Clad Contemporary Push Out Awning,16,48,DP50,1648 AWNG,CCNTPRYPAWN1648
CCNTPRYPAWN1654,Marvin Windows and Doors,Clad Contemporary Push Out Awning,16,54,DP50,1654 AWNG,CCNTPRYPAWN1654
CCNTPRYPAWN1656,Marvin Windows and Doors,Clad Contemporary Push Out Awning,16,56,DP50,1656 AWNG,CCNTPRYPAWN1656
CCNTPRYPAWN1660,Marvin Windows and Doors,Clad Contemporary Push Out Awning,16,60,DP50,1660 AWNG,CCNTPRYPAWN1660
CCNTPRYPAWN1664,Marvin Windows and Doors,Clad Contemporary Push Out Awning,16,64,DP50,1664 AWNG,CCNTPRYPAWN1664
CCNTPRYPAWN1672,Marvin Windows and Doors,Clad Contemporary Push Out Awning,16,72,DP50,1672 AWNG,CCNTPRYPAWN1672
CCNTPRYPAWN1814,Marvin Windows and Doors,Clad Contemporary Push Out Awning,18,14,DP50,1814 AWNG,CCNTPRYPAWN1814
CCNTPRYPAWN1816,Marvin Windows and Doors,Clad Contemporary Push Out Awning,18,16,DP50,1816 AWNG,CCNTPRYPAWN1816
CCNTPRYPAWN1818,Marvin Windows and Doors,Clad Contemporary Push Out Awning,18,18,DP50,1818 AWNG,CCNTPRYPAWN1818
CCNTPRYPAWN1820,Marvin Windows and Doors,Clad Contemporary Push Out Awning,18,20,DP50,1820 AWNG,CCNTPRYPAWN1820
CCNTPRYPAWN1824,Marvin Windows and Doors,Clad Contemporary Push Out Awning,18,24,DP50,1824 AWNG,CCNTPRYPAWN1824
CCNTPRYPAWN1828,Marvin Windows and Doors,Clad Contemporary Push Out Awning,18,28,DP50,1828 AWNG,CCNTPRYPAWN1828
CCNTPRYPAWN1832,Marvin Windows and Doors,Clad Contemporary Push Out Awning,18,32,DP50,1832 AWNG,CCNTPRYPAWN1832
CCNTPRYPAWN1836,Marvin Windows and Doors,Clad Contemporary Push Out Awning,18,36,DP50,1836 AWNG,CCNTPRYPAWN1836
CCNTPRYPAWN1840,Marvin Windows and Doors,Clad Contemporary Push Out Awning,18,40,DP50,1840 AWNG,CCNTPRYPAWN1840
CCNTPRYPAWN1844,Marvin Windows and Doors,Clad Contemporary Push Out Awning,18,44,DP50,1844 AWNG,CCNTPRYPAWN1844
CCNTPRYPAWN1848,Marvin Windows and Doors,Clad Contemporary Push Out Awning,18,48,DP50,1848 AWNG,CCNTPRYPAWN1848
