,Manufacturer##other##,Window Type##other##,Nominal Width##length##inches,Nominal Height##length##inches,Design Pressure##other##,Description##other##,Model##other##
CUPAWN1614,Marvin Windows and Doors,Clad Ultimate Push Out Awning,16,14,DP50,1614 AWNG,CUPAWN1614
CUPAWN1616,Marvin Windows and Doors,Clad Ultimate Push Out Awning,16,16,DP50,1616 AWNG,CUPAWN1616
CUPAWN1618,Marvin Windows and Doors,Clad Ultimate Push Out Awning,16,18,DP50,1618 AWNG,CUPAWN1618
CUPAWN1620,Marvin Windows and Doors,Clad Ultimate Push Out Awning,16,20,DP50,1620 AWNG,CUPAWN1620
CUPAWN1624,Marvin Windows and Doors,Clad Ultimate Push Out Awning,16,24,DP50,1624 AWNG,CUPAWN1624
CUPAWN1628,Marvin Windows and Doors,Clad Ultimate Push Out Awning,16,28,DP50,1628 AWNG,CUPAWN1628
CUPAWN1632,Marvin Windows and Doors,Clad Ultimate Push Out Awning,16,32,DP50,1632 AWNG,CUPAWN1632
CUPAWN1636,Marvin Windows and Doors,Clad Ultimate Push Out Awning,16,36,DP50,1636 AWNG,CUPAWN1636
CUPAWN1640,Marvin Windows and Doors,Clad Ultimate Push Out Awning,16,40,DP50,1640 AWNG,CUPAWN1640
CUPAWN1644,Marvin Windows and Doors,Clad Ultimate Push Out Awning,16,44,DP50,1644 AWNG,CUPAWN1644
CUPAWN1648,Marvin Windows and Doors,Clad Ultimate Push Out Awning,16,48,DP50,1648 AWNG,CUPAWN1648


CUPAWN1814,Marvin Windows and Doors,Clad Ultimate Push Out Awning,18,14,DP50,1814 AWNG,CUPAWN1814
CUPAWN1816,Marvin Windows and Doors,Clad Ultimate Push Out Awning,18,16,DP50,1816 AWNG,CUPAWN1816
CUPAWN1818,Marvin Windows and Doors,Clad Ultimate Push Out Awning,18,18,DP50,1818 AWNG,CUPAWN1818
CUPAWN1820,Marvin Windows and Doors,Clad Ultimate Push Out Awning,18,20,DP50,1820 AWNG,CUPAWN1820
CUPAWN1824,Marvin Windows and Doors,Clad Ultimate Push Out Awning,18,24,DP50,1824 AWNG,CUPAWN1824
CUPAWN1828,Marvin Windows and Doors,Clad Ultimate Push Out Awning,18,28,DP50,1828 AWNG,CUPAWN1828
CUPAWN1832,Marvin Windows and Doors,Clad Ultimate Push Out Awning,18,32,DP50,1832 AWNG,CUPAWN1832
CUPAWN1836,Marvin Windows and Doors,Clad Ultimate Push Out Awning,18,36,DP50,1836 AWNG,CUPAWN1836
CUPAWN1840,Marvin Windows and Doors,Clad Ultimate Push Out Awning,18,40,DP50,1840 AWNG,CUPAWN1840
CUPAWN1844,Marvin Windows and Doors,Clad Ultimate Push Out Awning,18,44,DP50,1844 AWNG,CUPAWN1844
CUPAWN1848,Marvin Windows and Doors,Clad Ultimate Push Out Awning,18,48,DP50,1848 AWNG,CUPAWN1848

CUPAWN2014,Marvin Windows and Doors,Clad Ultimate Push Out Awning,20,14,DP50,2014 AWNG,CUPAWN2014
CUPAWN2016,Marvin Windows and Doors,Clad Ultimate Push Out Awning,20,16,DP50,2016 AWNG,CUPAWN2016
CUPAWN2018,Marvin Windows and Doors,Clad Ultimate Push Out Awning,20,18,DP50,2018 AWNG,CUPAWN2018
CUPAWN2020,Marvin Windows and Doors,Clad Ultimate Push Out Awning,20,20,DP50,2020 AWNG,CUPAWN2020
CUPAWN2024,Marvin Windows and Doors,Clad Ultimate Push Out Awning,20,24,DP50,2024 AWNG,CUPAWN2024
CUPAWN2028,Marvin Windows and Doors,Clad Ultimate Push Out Awning,20,28,DP50,2028 AWNG,CUPAWN2028
CUPAWN2032,Marvin Windows and Doors,Clad Ultimate Push Out Awning,20,32,DP50,2032 AWNG,CUPAWN2032
CUPAWN2036,Marvin Windows and Doors,Clad Ultimate Push Out Awning,20,36,DP50,2036 AWNG,CUPAWN2036
CUPAWN2040,Marvin Windows and Doors,Clad Ultimate Push Out Awning,20,40,DP50,2040 AWNG,CUPAWN2040
CUPAWN2044,Marvin Windows and Doors,Clad Ultimate Push Out Awning,20,44,DP50,2044 AWNG,CUPAWN2044
CUPAWN2048,Marvin Windows and Doors,Clad Ultimate Push Out Awning,20,48,DP50,2048 AWNG,CUPAWN2048


CUPAWN2414,Marvin Windows and Doors,Clad Ultimate Push Out Awning,24,14,DP50,2414 AWNG,CUPAWN2414
CUPAWN2416,Marvin Windows and Doors,Clad Ultimate Push Out Awning,24,16,DP50,2416 AWNG,CUPAWN2416
CUPAWN2418,Marvin Windows and Doors,Clad Ultimate Push Out Awning,24,18,DP50,2418 AWNG,CUPAWN2418
CUPAWN2420,Marvin Windows and Doors,Clad Ultimate Push Out Awning,24,20,DP50,2420 AWNG,CUPAWN2420
CUPAWN2424,Marvin Windows and Doors,Clad Ultimate Push Out Awning,24,24,DP50,2424 AWNG,CUPAWN2424
CUPAWN2428,Marvin Windows and Doors,Clad Ultimate Push Out Awning,24,28,DP50,2428 AWNG,CUPAWN2428
CUPAWN2432,Marvin Windows and Doors,Clad Ultimate Push Out Awning,24,32,DP50,2432 AWNG,CUPAWN2432
CUPAWN2436,Marvin Windows and Doors,Clad Ultimate Push Out Awning,24,36,DP50,2436 AWNG,CUPAWN2436
CUPAWN2440,Marvin Windows and Doors,Clad Ultimate Push Out Awning,24,40,DP50,2440 AWNG,CUPAWN2440
CUPAWN2444,Marvin Windows and Doors,Clad Ultimate Push Out Awning,24,44,DP50,2444 AWNG,CUPAWN2444
CUPAWN2448,Marvin Windows and Doors,Clad Ultimate Push Out Awning,24,48,DP50,2448 AWNG,CUPAWN2448

CUPAWN2614,Marvin Windows and Doors,Clad Ultimate Push Out Awning,26,14,DP50,2614 AWNG,CUPAWN2614
CUPAWN2616,Marvin Windows and Doors,Clad Ultimate Push Out Awning,26,16,DP50,2616 AWNG,CUPAWN2616
CUPAWN2618,Marvin Windows and Doors,Clad Ultimate Push Out Awning,26,18,DP50,2618 AWNG,CUPAWN2618
CUPAWN2620,Marvin Windows and Doors,Clad Ultimate Push Out Awning,26,20,DP50,2620 AWNG,CUPAWN2620
CUPAWN2624,Marvin Windows and Doors,Clad Ultimate Push Out Awning,26,24,DP50,2624 AWNG,CUPAWN2624
CUPAWN2628,Marvin Windows and Doors,Clad Ultimate Push Out Awning,26,28,DP50,2628 AWNG,CUPAWN2628
CUPAWN2632,Marvin Windows and Doors,Clad Ultimate Push Out Awning,26,32,DP50,2632 AWNG,CUPAWN2632
CUPAWN2636,Marvin Windows and Doors,Clad Ultimate Push Out Awning,26,36,DP50,2636 AWNG,CUPAWN2636
CUPAWN2640,Marvin Windows and Doors,Clad Ultimate Push Out Awning,26,40,DP50,2640 AWNG,CUPAWN2640
CUPAWN2644,Marvin Windows and Doors,Clad Ultimate Push Out Awning,26,44,DP50,2644 AWNG,CUPAWN2644
CUPAWN2648,Marvin Windows and Doors,Clad Ultimate Push Out Awning,26,48,DP50,2648 AWNG,CUPAWN2648


