,Manufacturer##other##,Window Type##other##,Nominal Width##length##inches,Nominal Height##length##inches,Design Pressure##other##,Description##other##,Model##other##
CUAWN1614,Marvin Windows and Doors,Clad Ultimate Awning Tripane,16,14,DP50,1614 AWNG,CUAWN1614
CUAWN1616,Marvin Windows and Doors,Clad Ultimate Awning Tripane,16,16,DP50,1616 AWNG,CUAWN1616
CUAWN1618,Marvin Windows and Doors,Clad Ultimate Awning Tripane,16,18,DP50,1618 AWNG,CUAWN1618
CUAWN1620,Marvin Windows and Doors,Clad Ultimate Awning Tripane,16,20,DP50,1620 AWNG,CUAWN1620
CUAWN1624,Marvin Windows and Doors,Clad Ultimate Awning Tripane,16,24,DP50,1624 AWNG,CUAWN1624
CUAWN1628,Marvin Windows and Doors,Clad Ultimate Awning Tripane,16,28,DP50,1628 AWNG,CUAWN1628
CUAWN1632,Marvin Windows and Doors,Clad Ultimate Awning Tripane,16,32,DP50,1632 AWNG,CUAWN1632
CUAWN1636,Marvin Windows and Doors,Clad Ultimate Awning Tripane,16,36,DP50,1636 AWNG,CUAWN1636
CUAWN1640,Marvin Windows and Doors,Clad Ultimate Awning Tripane,16,40,DP50,1640 AWNG,CUAWN1640
CUAWN1644,Marvin Windows and Doors,Clad Ultimate Awning Tripane,16,44,DP50,1644 AWNG,CUAWN1644
CUAWN1648,Marvin Windows and Doors,Clad Ultimate Awning Tripane,16,48,DP50,1648 AWNG,CUAWN1648
CUAWN1654,Marvin Windows and Doors,Clad Ultimate Awning Tripane,16,54,DP50,1654 AWNG,CUAWN1654
CUAWN1656,Marvin Windows and Doors,Clad Ultimate Awning Tripane,16,56,DP50,1656 AWNG,CUAWN1656
CUAWN1660,Marvin Windows and Doors,Clad Ultimate Awning Tripane,16,60,DP50,1660 AWNG,CUAWN1660
CUAWN1664,Marvin Windows and Doors,Clad Ultimate Awning Tripane,16,64,DP50,1664 AWNG,CUAWN1664
CUAWN1672,Marvin Windows and Doors,Clad Ultimate Awning Tripane,16,72,DP50,1672 AWNG,CUAWN1672
CUAWN1814,Marvin Windows and Doors,Clad Ultimate Awning Tripane,18,14,DP50,1814 AWNG,CUAWN1814
CUAWN1816,Marvin Windows and Doors,Clad Ultimate Awning Tripane,18,16,DP50,1816 AWNG,CUAWN1816
CUAWN1818,Marvin Windows and Doors,Clad Ultimate Awning Tripane,18,18,DP50,1818 AWNG,CUAWN1818
CUAWN1820,Marvin Windows and Doors,Clad Ultimate Awning Tripane,18,20,DP50,1820 AWNG,CUAWN1820
CUAWN1824,Marvin Windows and Doors,Clad Ultimate Awning Tripane,18,24,DP50,1824 AWNG,CUAWN1824
CUAWN1828,Marvin Windows and Doors,Clad Ultimate Awning Tripane,18,28,DP50,1828 AWNG,CUAWN1828
CUAWN1832,Marvin Windows and Doors,Clad Ultimate Awning Tripane,18,32,DP50,1832 AWNG,CUAWN1832
CUAWN1836,Marvin Windows and Doors,Clad Ultimate Awning Tripane,18,36,DP50,1836 AWNG,CUAWN1836
CUAWN1840,Marvin Windows and Doors,Clad Ultimate Awning Tripane,18,40,DP50,1840 AWNG,CUAWN1840
CUAWN1844,Marvin Windows and Doors,Clad Ultimate Awning Tripane,18,44,DP50,1844 AWNG,CUAWN1844
CUAWN1848,Marvin Windows and Doors,Clad Ultimate Awning Tripane,18,48,DP50,1848 AWNG,CUAWN1848
CUAWN1854,Marvin Windows and Doors,Clad Ultimate Awning Tripane,18,54,DP50,1854 AWNG,CUAWN1854
CUAWN1856,Marvin Windows and Doors,Clad Ultimate Awning Tripane,18,56,DP50,1856 AWNG,CUAWN1856
CUAWN1860,Marvin Windows and Doors,Clad Ultimate Awning Tripane,18,60,DP50,1860 AWNG,CUAWN1860
CUAWN1864,Marvin Windows and Doors,Clad Ultimate Awning Tripane,18,64,DP50,1864 AWNG,CUAWN1864
CUAWN1872,Marvin Windows and Doors,Clad Ultimate Awning Tripane,18,72,DP50,1872 AWNG,CUAWN1872
CUAWN2014,Marvin Windows and Doors,Clad Ultimate Awning Tripane,20,14,DP50,2014 AWNG,CUAWN2014
CUAWN2016,Marvin Windows and Doors,Clad Ultimate Awning Tripane,20,16,DP50,2016 AWNG,CUAWN2016
CUAWN2018,Marvin Windows and Doors,Clad Ultimate Awning Tripane,20,18,DP50,2018 AWNG,CUAWN2018
CUAWN2020,Marvin Windows and Doors,Clad Ultimate Awning Tripane,20,20,DP50,2020 AWNG,CUAWN2020
CUAWN2024,Marvin Windows and Doors,Clad Ultimate Awning Tripane,20,24,DP50,2024 AWNG,CUAWN2024
CUAWN2028,Marvin Windows and Doors,Clad Ultimate Awning Tripane,20,28,DP50,2028 AWNG,CUAWN2028
CUAWN2032,Marvin Windows and Doors,Clad Ultimate Awning Tripane,20,32,DP50,2032 AWNG,CUAWN2032
CUAWN2036,Marvin Windows and Doors,Clad Ultimate Awning Tripane,20,36,DP50,2036 AWNG,CUAWN2036
CUAWN2040,Marvin Windows and Doors,Clad Ultimate Awning Tripane,20,40,DP50,2040 AWNG,CUAWN2040
CUAWN2044,Marvin Windows and Doors,Clad Ultimate Awning Tripane,20,44,DP50,2044 AWNG,CUAWN2044
CUAWN2048,Marvin Windows and Doors,Clad Ultimate Awning Tripane,20,48,DP50,2048 AWNG,CUAWN2048
CUAWN2054,Marvin Windows and Doors,Clad Ultimate Awning Tripane,20,54,DP50,2054 AWNG,CUAWN2054
CUAWN2056,Marvin Windows and Doors,Clad Ultimate Awning Tripane,20,56,DP50,2056 AWNG,CUAWN2056
CUAWN2060,Marvin Windows and Doors,Clad Ultimate Awning Tripane,20,60,DP50,2060 AWNG,CUAWN2060
CUAWN2064,Marvin Windows and Doors,Clad Ultimate Awning Tripane,20,64,DP50,2064 AWNG,CUAWN2064
CUAWN2072,Marvin Windows and Doors,Clad Ultimate Awning Tripane,20,72,DP50,2072 AWNG,CUAWN2072
CUAWN2414,Marvin Windows and Doors,Clad Ultimate Awning Tripane,24,14,DP50,2414 AWNG,CUAWN2414
CUAWN2416,Marvin Windows and Doors,Clad Ultimate Awning Tripane,24,16,DP50,2416 AWNG,CUAWN2416
CUAWN2418,Marvin Windows and Doors,Clad Ultimate Awning Tripane,24,18,DP50,2418 AWNG,CUAWN2418
CUAWN2420,Marvin Windows and Doors,Clad Ultimate Awning Tripane,24,20,DP50,2420 AWNG,CUAWN2420
CUAWN2424,Marvin Windows and Doors,Clad Ultimate Awning Tripane,24,24,DP50,2424 AWNG,CUAWN2424
CUAWN2428,Marvin Windows and Doors,Clad Ultimate Awning Tripane,24,28,DP50,2428 AWNG,CUAWN2428
CUAWN2432,Marvin Windows and Doors,Clad Ultimate Awning Tripane,24,32,DP50,2432 AWNG,CUAWN2432
CUAWN2436,Marvin Windows and Doors,Clad Ultimate Awning Tripane,24,36,DP50,2436 AWNG,CUAWN2436
CUAWN2440,Marvin Windows and Doors,Clad Ultimate Awning Tripane,24,40,DP50,2440 AWNG,CUAWN2440
CUAWN2444,Marvin Windows and Doors,Clad Ultimate Awning Tripane,24,44,DP50,2444 AWNG,CUAWN2444
CUAWN2448,Marvin Windows and Doors,Clad Ultimate Awning Tripane,24,48,DP50,2448 AWNG,CUAWN2448
CUAWN2454,Marvin Windows and Doors,Clad Ultimate Awning Tripane,24,54,DP50,2454 AWNG,CUAWN2454
CUAWN2456,Marvin Windows and Doors,Clad Ultimate Awning Tripane,24,56,DP50,2456 AWNG,CUAWN2456
CUAWN2460,Marvin Windows and Doors,Clad Ultimate Awning Tripane,24,60,DP50,2460 AWNG,CUAWN2460
CUAWN2464,Marvin Windows and Doors,Clad Ultimate Awning Tripane,24,64,DP50,2464 AWNG,CUAWN2464
CUAWN2472,Marvin Windows and Doors,Clad Ultimate Awning Tripane,24,72,DP50,2472 AWNG,CUAWN2472
CUAWN2614,Marvin Windows and Doors,Clad Ultimate Awning Tripane,26,14,DP50,2614 AWNG,CUAWN2614
CUAWN2616,Marvin Windows and Doors,Clad Ultimate Awning Tripane,26,16,DP50,2616 AWNG,CUAWN2616
CUAWN2618,Marvin Windows and Doors,Clad Ultimate Awning Tripane,26,18,DP50,2618 AWNG,CUAWN2618
CUAWN2620,Marvin Windows and Doors,Clad Ultimate Awning Tripane,26,20,DP50,2620 AWNG,CUAWN2620
CUAWN2624,Marvin Windows and Doors,Clad Ultimate Awning Tripane,26,24,DP50,2624 AWNG,CUAWN2624
CUAWN2628,Marvin Windows and Doors,Clad Ultimate Awning Tripane,26,28,DP50,2628 AWNG,CUAWN2628
CUAWN2632,Marvin Windows and Doors,Clad Ultimate Awning Tripane,26,32,DP50,2632 AWNG,CUAWN2632
CUAWN2636,Marvin Windows and Doors,Clad Ultimate Awning Tripane,26,36,DP50,2636 AWNG,CUAWN2636
CUAWN2640,Marvin Windows and Doors,Clad Ultimate Awning Tripane,26,40,DP50,2640 AWNG,CUAWN2640
CUAWN2644,Marvin Windows and Doors,Clad Ultimate Awning Tripane,26,44,DP50,2644 AWNG,CUAWN2644
CUAWN2648,Marvin Windows and Doors,Clad Ultimate Awning Tripane,26,48,DP50,2648 AWNG,CUAWN2648
CUAWN2654,Marvin Windows and Doors,Clad Ultimate Awning Tripane,26,54,DP50,2654 AWNG,CUAWN2654
CUAWN2656,Marvin Windows and Doors,Clad Ultimate Awning Tripane,26,56,DP50,2656 AWNG,CUAWN2656
CUAWN2660,Marvin Windows and Doors,Clad Ultimate Awning Tripane,26,60,DP50,2660 AWNG,CUAWN2660
CUAWN2664,Marvin Windows and Doors,Clad Ultimate Awning Tripane,26,64,DP50,2664 AWNG,CUAWN2664
CUAWN2672,Marvin Windows and Doors,Clad Ultimate Awning Tripane,26,72,DP50,2672 AWNG,CUAWN2672
CUAWN2814,Marvin Windows and Doors,Clad Ultimate Awning Tripane,28,14,DP50,2814 AWNG,CUAWN2814
CUAWN2816,Marvin Windows and Doors,Clad Ultimate Awning Tripane,28,16,DP50,2816 AWNG,CUAWN2816
CUAWN2818,Marvin Windows and Doors,Clad Ultimate Awning Tripane,28,18,DP50,2818 AWNG,CUAWN2818
CUAWN2820,Marvin Windows and Doors,Clad Ultimate Awning Tripane,28,20,DP50,2820 AWNG,CUAWN2820
CUAWN2824,Marvin Windows and Doors,Clad Ultimate Awning Tripane,28,24,DP50,2824 AWNG,CUAWN2824
CUAWN2828,Marvin Windows and Doors,Clad Ultimate Awning Tripane,28,28,DP50,2828 AWNG,CUAWN2828
CUAWN2832,Marvin Windows and Doors,Clad Ultimate Awning Tripane,28,32,DP50,2832 AWNG,CUAWN2832
CUAWN2836,Marvin Windows and Doors,Clad Ultimate Awning Tripane,28,36,DP50,2836 AWNG,CUAWN2836
CUAWN2840,Marvin Windows and Doors,Clad Ultimate Awning Tripane,28,40,DP50,2840 AWNG,CUAWN2840
