,Manufacturer##other##,Window Type##other##,Nominal Width##length##inches,Nominal Height##length##inches,Egress Window##other##,Design Pressure##other##,Description##other##,Model##other##
CCNTPRYCA1614,Marvin Windows and Doors,Clad Contemporary Casement,16,14,No,DP50,1614 CSMT,CCNTPRYCA1614
CCNTPRYCA1616,Marvin Windows and Doors,Clad Contemporary Casement,16,16,No,DP50,1616 CSMT,CCNTPRYCA1616
CCNTPRYCA1618,Marvin Windows and Doors,Clad Contemporary Casement,16,18,No,DP50,1618 CSMT,CCNTPRYCA1618
CCNTPRYCA1620,Marvin Windows and Doors,Clad Contemporary Casement,16,20,No,DP50,1620 CSMT,CCNTPRYCA1620
CCNTPRYCA1624,Marvin Windows and Doors,Clad Contemporary Casement,16,24,No,DP50,1624 CSMT,CCNTPRYCA1624
CCNTPRYCA1628,Marvin Windows and Doors,Clad Contemporary Casement,16,28,No,DP50,1628 CSMT,CCNTPRYCA1628
CCNTPRYCA1632,Marvin Windows and Doors,Clad Contemporary Casement,16,32,No,DP50,1632 CSMT,CCNTPRYCA1632
CCNTPRYCA1636,Marvin Windows and Doors,Clad Contemporary Casement,16,36,No,DP50,1636 CSMT,CCNTPRYCA1636
CCNTPRYCA1640,Marvin Windows and Doors,Clad Contemporary Casement,16,40,No,DP50,1640 CSMT,CCNTPRYCA1640
CCNTPRYCA1644,Marvin Windows and Doors,Clad Contemporary Casement,16,44,No,DP50,1644 CSMT,CCNTPRYCA1644
CCNTPRYCA1648,Marvin Windows and Doors,Clad Contemporary Casement,16,48,No,DP50,1648 CSMT,CCNTPRYCA1648
CCNTPRYCA1654,Marvin Windows and Doors,Clad Contemporary Casement,16,54,No,DP50,1654 CSMT,CCNTPRYCA1654
CCNTPRYCA1656,Marvin Windows and Doors,Clad Contemporary Casement,16,56,No,DP50,1656 CSMT,CCNTPRYCA1656
CCNTPRYCA1660,Marvin Windows and Doors,Clad Contemporary Casement,16,60,No,DP50,1660 CSMT,CCNTPRYCA1660
CCNTPRYCA1664,Marvin Windows and Doors,Clad Contemporary Casement,16,64,No,DP50,1664 CSMT,CCNTPRYCA1664
CCNTPRYCA1672,Marvin Windows and Doors,Clad Contemporary Casement,16,72,No,DP50,1672 CSMT,CCNTPRYCA1672
CCNTPRYCA1678,Marvin Windows and Doors,Clad Contemporary Casement,16,78,No,DP50,1678 CSMT,CCNTPRYCA1678
CCNTPRYCA1684,Marvin Windows and Doors,Clad Contemporary Casement,16,84,No,DP50,1684 CSMT,CCNTPRYCA1684
CCNTPRYCA1692,Marvin Windows and Doors,Clad Contemporary Casement,16,92,No,DP50,1692 CSMT,CCNTPRYCA1692
CCNTPRYCA1696,Marvin Windows and Doors,Clad Contemporary Casement,16,96,No,DP50,1696 CSMT,CCNTPRYCA1696
CCNTPRYCA1814,Marvin Windows and Doors,Clad Contemporary Casement,18,14,No,DP50,1814 CSMT,CCNTPRYCA1814
CCNTPRYCA1816,Marvin Windows and Doors,Clad Contemporary Casement,18,16,No,DP50,1816 CSMT,CCNTPRYCA1816
CCNTPRYCA1818,Marvin Windows and Doors,Clad Contemporary Casement,18,18,No,DP50,1818 CSMT,CCNTPRYCA1818
CCNTPRYCA1820,Marvin Windows and Doors,Clad Contemporary Casement,18,20,No,DP50,1820 CSMT,CCNTPRYCA1820
CCNTPRYCA1824,Marvin Windows and Doors,Clad Contemporary Casement,18,24,No,DP50,1824 CSMT,CCNTPRYCA1824
CCNTPRYCA1828,Marvin Windows and Doors,Clad Contemporary Casement,18,28,No,DP50,1828 CSMT,CCNTPRYCA1828
CCNTPRYCA1836,Marvin Windows and Doors,Clad Contemporary Casement,18,36,No,DP50,1836 CSMT,CCNTPRYCA1836
CCNTPRYCA1840,Marvin Windows and Doors,Clad Contemporary Casement,18,40,No,DP50,1840 CSMT,CCNTPRYCA1840
CCNTPRYCA1844,Marvin Windows and Doors,Clad Contemporary Casement,18,44,No,DP50,1844 CSMT,CCNTPRYCA1844
CCNTPRYCA1848,Marvin Windows and Doors,Clad Contemporary Casement,18,48,No,DP50,1848 CSMT,CCNTPRYCA1848
CCNTPRYCA1854,Marvin Windows and Doors,Clad Contemporary Casement,18,54,No,DP50,1854 CSMT,CCNTPRYCA1854
CCNTPRYCA1856,Marvin Windows and Doors,Clad Contemporary Casement,18,56,No,DP50,1856 CSMT,CCNTPRYCA1856
CCNTPRYCA1860,Marvin Windows and Doors,Clad Contemporary Casement,18,60,No,DP50,1860 CSMT,CCNTPRYCA1860
CCNTPRYCA1864,Marvin Windows and Doors,Clad Contemporary Casement,18,64,No,DP50,1864 CSMT,CCNTPRYCA1864
CCNTPRYCA1872,Marvin Windows and Doors,Clad Contemporary Casement,18,72,No,DP50,1872 CSMT,CCNTPRYCA1872
CCNTPRYCA1878,Marvin Windows and Doors,Clad Contemporary Casement,18,78,No,DP50,1878 CSMT,CCNTPRYCA1878
CCNTPRYCA1884,Marvin Windows and Doors,Clad Contemporary Casement,18,84,No,DP50,1884 CSMT,CCNTPRYCA1884
CCNTPRYCA1892,Marvin Windows and Doors,Clad Contemporary Casement,18,92,No,DP50,1892 CSMT,CCNTPRYCA1892
CCNTPRYCA1896,Marvin Windows and Doors,Clad Contemporary Casement,18,96,No,DP50,1896 CSMT,CCNTPRYCA1896
CCNTPRYCA2014,Marvin Windows and Doors,Clad Contemporary Casement,20,14,No,DP50,2014 CSMT,CCNTPRYCA2014
CCNTPRYCA2016,Marvin Windows and Doors,Clad Contemporary Casement,20,16,No,DP50,2016 CSMT,CCNTPRYCA2016
CCNTPRYCA2018,Marvin Windows and Doors,Clad Contemporary Casement,20,18,No,DP50,2018 CSMT,CCNTPRYCA2018
CCNTPRYCA2020,Marvin Windows and Doors,Clad Contemporary Casement,20,20,No,DP50,2020 CSMT,CCNTPRYCA2020
CCNTPRYCA2024,Marvin Windows and Doors,Clad Contemporary Casement,20,24,No,DP50,2024 CSMT,CCNTPRYCA2024
CCNTPRYCA2028,Marvin Windows and Doors,Clad Contemporary Casement,20,28,No,DP50,2028 CSMT,CCNTPRYCA2028
CCNTPRYCA2032,Marvin Windows and Doors,Clad Contemporary Casement,20,32,No,DP50,2032 CSMT,CCNTPRYCA2032
CCNTPRYCA2036,Marvin Windows and Doors,Clad Contemporary Casement,20,36,No,DP50,2036 CSMT,CCNTPRYCA2036
CCNTPRYCA2040,Marvin Windows and Doors,Clad Contemporary Casement,20,40,No,DP50,2040 CSMT,CCNTPRYCA2040
CCNTPRYCA2044,Marvin Windows and Doors,Clad Contemporary Casement,20,44,No,DP50,2044 CSMT,CCNTPRYCA2044
CCNTPRYCA2048,Marvin Windows and Doors,Clad Contemporary Casement,20,48,No,DP50,2048 CSMT,CCNTPRYCA2048
CCNTPRYCA2054,Marvin Windows and Doors,Clad Contemporary Casement,20,54,No,DP50,2054 CSMT,CCNTPRYCA2054
CCNTPRYCA2056,Marvin Windows and Doors,Clad Contemporary Casement,20,56,No,DP50,2056 CSMT,CCNTPRYCA2056
CCNTPRYCA2064,Marvin Windows and Doors,Clad Contemporary Casement,20,64,No,DP50,2064 CSMT,CCNTPRYCA2064
CCNTPRYCA2072,Marvin Windows and Doors,Clad Contemporary Casement,20,72,No,DP50,2072 CSMT,CCNTPRYCA2072
CCNTPRYCA2078,Marvin Windows and Doors,Clad Contemporary Casement,20,78,No,DP50,2078 CSMT,CCNTPRYCA2078
CCNTPRYCA2084,Marvin Windows and Doors,Clad Contemporary Casement,20,84,No,DP50,2084 CSMT,CCNTPRYCA2084
CCNTPRYCA2092,Marvin Windows and Doors,Clad Contemporary Casement,20,92,No,DP50,2092 CSMT,CCNTPRYCA2092
CCNTPRYCA2096,Marvin Windows and Doors,Clad Contemporary Casement,20,96,No,DP50,2096 CSMT,CCNTPRYCA2096
CCNTPRYCA2414,Marvin Windows and Doors,Clad Contemporary Casement,24,14,No,DP50,2414 CSMT,CCNTPRYCA2414
CCNTPRYCA2416,Marvin Windows and Doors,Clad Contemporary Casement,24,16,No,DP50,2416 CSMT,CCNTPRYCA2416
CCNTPRYCA2418,Marvin Windows and Doors,Clad Contemporary Casement,24,18,No,DP50,2418 CSMT,CCNTPRYCA2418
CCNTPRYCA2420,Marvin Windows and Doors,Clad Contemporary Casement,24,20,No,DP50,2420 CSMT,CCNTPRYCA2420
CCNTPRYCA2424,Marvin Windows and Doors,Clad Contemporary Casement,24,24,No,DP50,2424 CSMT,CCNTPRYCA2424
CCNTPRYCA2428,Marvin Windows and Doors,Clad Contemporary Casement,24,28,No,DP50,2428 CSMT,CCNTPRYCA2428
CCNTPRYCA2432,Marvin Windows and Doors,Clad Contemporary Casement,24,32,No,DP50,2432 CSMT,CCNTPRYCA2432
CCNTPRYCA2436,Marvin Windows and Doors,Clad Contemporary Casement,24,36,No,DP50,2436 CSMT,CCNTPRYCA2436
CCNTPRYCA2440,Marvin Windows and Doors,Clad Contemporary Casement,24,40,No,DP50,2440 CSMT,CCNTPRYCA2440
CCNTPRYCA2444,Marvin Windows and Doors,Clad Contemporary Casement,24,44,No,DP50,2444 CSMT,CCNTPRYCA2444
CCNTPRYCA2448,Marvin Windows and Doors,Clad Contemporary Casement,24,48,No,DP50,2448 CSMT,CCNTPRYCA2448
CCNTPRYCA2454,Marvin Windows and Doors,Clad Contemporary Casement,24,54,No,DP50,2454 CSMT,CCNTPRYCA2454
CCNTPRYCA2456,Marvin Windows and Doors,Clad Contemporary Casement,24,56,No,DP50,2456 CSMT,CCNTPRYCA2456
CCNTPRYCA2460,Marvin Windows and Doors,Clad Contemporary Casement,24,60,No,DP50,2460 CSMT,CCNTPRYCA2460
CCNTPRYCA2464,Marvin Windows and Doors,Clad Contemporary Casement,24,64,No,DP50,2464 CSMT,CCNTPRYCA2464
CCNTPRYCA2472,Marvin Windows and Doors,Clad Contemporary Casement,24,72,No,DP50,2472 CSMT,CCNTPRYCA2472
CCNTPRYCA2478,Marvin Windows and Doors,Clad Contemporary Casement,24,78,No,DP50,2478 CSMT,CCNTPRYCA2478
CCNTPRYCA2484,Marvin Windows and Doors,Clad Contemporary Casement,24,84,No,DP50,2484 CSMT,CCNTPRYCA2484
CCNTPRYCA2492,Marvin Windows and Doors,Clad Contemporary Casement,24,92,No,DP50,2492 CSMT,CCNTPRYCA2492
CCNTPRYCA2496,Marvin Windows and Doors,Clad Contemporary Casement,24,96,No,DP50,2496 CSMT,CCNTPRYCA2496
CCNTPRYCA2614,Marvin Windows and Doors,Clad Contemporary Casement,26,14,No,DP50,2614 CSMT,CCNTPRYCA2614
CCNTPRYCA2616,Marvin Windows and Doors,Clad Contemporary Casement,26,16,No,DP50,2616 CSMT,CCNTPRYCA2616
CCNTPRYCA2618,Marvin Windows and Doors,Clad Contemporary Casement,26,18,No,DP50,2618 CSMT,CCNTPRYCA2618
CCNTPRYCA2620,Marvin Windows and Doors,Clad Contemporary Casement,26,20,No,DP50,2620 CSMT,CCNTPRYCA2620
CCNTPRYCA2624,Marvin Windows and Doors,Clad Contemporary Casement,26,24,No,DP50,2624 CSMT,CCNTPRYCA2624
