,Manufacturer##other##,Window Type##other##,Nominal Width Center Unit##length##inches,Nominal Height##length##inches,Design Pressure##other##,Description##other##,Model##other##

CUCA1614,Marvin Windows and Doors,Clad Ultimate Casement,16,14,DP50,1614 CSMT,CUCA1614
CUCA1616,Marvin Windows and Doors,Clad Ultimate Casement,16,16,DP50,1616 CSMT,CUCA1616
CUCA1618,Marvin Windows and Doors,Clad Ultimate Casement,16,18,DP50,1618 CSMT,CUCA1618
CUCA1620,Marvin Windows and Doors,Clad Ultimate Casement,16,20,DP50,1620 CSMT,CUCA1620
CUCA1624,Marvin Windows and Doors,Clad Ultimate Casement,16,24,DP50,1624 CSMT,CUCA1624
CUCA1628,Marvin Windows and Doors,Clad Ultimate Casement,16,28,DP50,1628 CSMT,CUCA1628
CUCA1632,Marvin Windows and Doors,Clad Ultimate Casement,16,32,DP50,1632 CSMT,CUCA1632
CUCA1636,Marvin Windows and Doors,Clad Ultimate Casement,16,36,DP50,1636 CSMT,CUCA1636
CUCA1640,Marvin Windows and Doors,Clad Ultimate Casement,16,40,DP50,1640 CSMT,CUCA1640
CUCA1644,Marvin Windows and Doors,Clad Ultimate Casement,16,44,DP50,1644 CSMT,CUCA1644
CUCA1648,Marvin Windows and Doors,Clad Ultimate Casement,16,48,DP50,1648 CSMT,CUCA1648
CUCA1654,Marvin Windows and Doors,Clad Ultimate Casement,16,54,DP50,1654 CSMT,CUCA1654
CUCA1656,Marvin Windows and Doors,Clad Ultimate Casement,16,56,DP50,1656 CSMT,CUCA1656
CUCA1660,Marvin Windows and Doors,Clad Ultimate Casement,16,60,DP50,1660 CSMT,CUCA1660
CUCA1664,Marvin Windows and Doors,Clad Ultimate Casement,16,64,DP50,1664 CSMT,CUCA1664
CUCA1672,Marvin Windows and Doors,Clad Ultimate Casement,16,72,DP50,1672 CSMT,CUCA1672
CUCA1678,Marvin Windows and Doors,Clad Ultimate Casement,16,78,DP50,1678 CSMT,CUCA1678
CUCA1684,Marvin Windows and Doors,Clad Ultimate Casement,16,84,DP50,1684 CSMT,CUCA1684
CUCA1692,Marvin Windows and Doors,Clad Ultimate Casement,16,92,DP50,1692 CSMT,CUCA1692
CUCA1696,Marvin Windows and Doors,Clad Ultimate Casement,16,96,DP50,1696 CSMT,CUCA1696

CUCA1814,Marvin Windows and Doors,Clad Ultimate Casement,18,14,DP50,1814 CSMT,CUCA1814
CUCA1816,Marvin Windows and Doors,Clad Ultimate Casement,18,16,DP50,1816 CSMT,CUCA1816
CUCA1818,Marvin Windows and Doors,Clad Ultimate Casement,18,18,DP50,1818 CSMT,CUCA1818
CUCA1820,Marvin Windows and Doors,Clad Ultimate Casement,18,20,DP50,1820 CSMT,CUCA1820
CUCA1824,Marvin Windows and Doors,Clad Ultimate Casement,18,24,DP50,1824 CSMT,CUCA1824
CUCA1828,Marvin Windows and Doors,Clad Ultimate Casement,18,28,DP50,1828 CSMT,CUCA1828
CUCA1832,Marvin Windows and Doors,Clad Ultimate Casement,18,32,DP50,1832 CSMT,CUCA1832
CUCA1836,Marvin Windows and Doors,Clad Ultimate Casement,18,36,DP50,1836 CSMT,CUCA1836
CUCA1840,Marvin Windows and Doors,Clad Ultimate Casement,18,40,DP50,1840 CSMT,CUCA1840
CUCA1844,Marvin Windows and Doors,Clad Ultimate Casement,18,44,DP50,1844 CSMT,CUCA1844
CUCA1848,Marvin Windows and Doors,Clad Ultimate Casement,18,48,DP50,1848 CSMT,CUCA1848
CUCA1854,Marvin Windows and Doors,Clad Ultimate Casement,18,54,DP50,1854 CSMT,CUCA1854
CUCA1856,Marvin Windows and Doors,Clad Ultimate Casement,18,56,DP50,1856 CSMT,CUCA1856
CUCA1860,Marvin Windows and Doors,Clad Ultimate Casement,18,60,DP50,1860 CSMT,CUCA1860
CUCA1864,Marvin Windows and Doors,Clad Ultimate Casement,18,64,DP50,1864 CSMT,CUCA1864
CUCA1872,Marvin Windows and Doors,Clad Ultimate Casement,18,72,DP50,1872 CSMT,CUCA1872
CUCA1878,Marvin Windows and Doors,Clad Ultimate Casement,18,78,DP50,1878 CSMT,CUCA1878
CUCA1884,Marvin Windows and Doors,Clad Ultimate Casement,18,84,DP50,1884 CSMT,CUCA1884
CUCA1892,Marvin Windows and Doors,Clad Ultimate Casement,18,92,DP50,1892 CSMT,CUCA1892
CUCA1896,Marvin Windows and Doors,Clad Ultimate Casement,18,96,DP50,1896 CSMT,CUCA1896

CUCA2014,Marvin Windows and Doors,Clad Ultimate Casement,20,14,DP50,2014 CSMT,CUCA2014
CUCA2016,Marvin Windows and Doors,Clad Ultimate Casement,20,16,DP50,2016 CSMT,CUCA2016
CUCA2018,Marvin Windows and Doors,Clad Ultimate Casement,20,18,DP50,2018 CSMT,CUCA2018
CUCA2020,Marvin Windows and Doors,Clad Ultimate Casement,20,20,DP50,2020 CSMT,CUCA2020
CUCA2024,Marvin Windows and Doors,Clad Ultimate Casement,20,24,DP50,2024 CSMT,CUCA2024
CUCA2028,Marvin Windows and Doors,Clad Ultimate Casement,20,28,DP50,2028 CSMT,CUCA2028
CUCA2032,Marvin Windows and Doors,Clad Ultimate Casement,20,32,DP50,2032 CSMT,CUCA2032
