,Manufacturer##other##,Window Type##other##,Nominal Width##length##inches,Nominal Height##length##inches,Egress Window##other##,Design Pressure##other##,Description##other##,Model##other##


CUPFCA3632,Marvin Windows and Doors,Clad Ultimate French Casement,36,32,No,DP40,3632 FR CSMT,CUPFCA3632
CUFCA4032,Marvin Windows and Doors,Clad Ultimate French Casement,40,32,No,DP40,4032 FR CSMT,CUFCA4032
CUFCA4832,Marvin Windows and Doors,Clad Ultimate French Casement,48,32,Yes,DP40,4832 FR CSMT,CUFCA4832
CUFCA5632,Marvin Windows and Doors,Clad Ultimate French Casement,56,32,Yes,DP40,5632 FR CSMT,CUFCA5632
CUFCA6032,Marvin Windows and Doors,Clad Ultimate French Casement,60,32,Yes,DP30,6032 FR CSMT,CUFCA6032

CUPFCA3636,Marvin Windows and Doors,Clad Ultimate French Casement,36,36,No,DP40,3636 FR CSMT,CUPFCA3636
CUFCA4036,Marvin Windows and Doors,Clad Ultimate French Casement,40,36,No,DP40,4036 FR CSMT,CUFCA4036
CUFCA4836,Marvin Windows and Doors,Clad Ultimate French Casement,48,36,Yes,DP40,4836 FR CSMT,CUFCA4836
CUFCA5636,Marvin Windows and Doors,Clad Ultimate French Casement,56,36,Yes,DP40,5636 FR CSMT,CUFCA5636
CUFCA6036,Marvin Windows and Doors,Clad Ultimate French Casement,60,36,Yes,DP30,6036 FR CSMT,CUFCA6036

CUPFCA3640,Marvin Windows and Doors,Clad Ultimate French Casement,36,40,No,DP40,3640 FR CSMT,CUPFCA3640
CUFCA4040,Marvin Windows and Doors,Clad Ultimate French Casement,40,40,Yes,DP40,4040 FR CSMT,CUFCA4040
CUFCA4840,Marvin Windows and Doors,Clad Ultimate French Casement,48,40,Yes,DP40,4840 FR CSMT,CUFCA4840
CUFCA5640,Marvin Windows and Doors,Clad Ultimate French Casement,56,40,Yes,DP40,5640 FR CSMT,CUFCA5640
CUFCA6040,Marvin Windows and Doors,Clad Ultimate French Casement,60,40,Yes,DP30,6040 FR CSMT,CUFCA6040

CUPFCA3644,Marvin Windows and Doors,Clad Ultimate French Casement,36,44,No,DP40,3644 FR CSMT,CUPFCA3644
CUFCA4044,Marvin Windows and Doors,Clad Ultimate French Casement,40,44,Yes,DP40,4044 FR CSMT,CUFCA4044
CUFCA4844,Marvin Windows and Doors,Clad Ultimate French Casement,48,44,Yes,DP40,4844 FR CSMT,CUFCA4844
CUFCA5644,Marvin Windows and Doors,Clad Ultimate French Casement,56,44,Yes,DP40,5644 FR CSMT,CUFCA5644
CUFCA6044,Marvin Windows and Doors,Clad Ultimate French Casement,60,44,Yes,DP30,6044 FR CSMT,CUFCA6044

CUPFCA3648,Marvin Windows and Doors,Clad Ultimate French Casement,36,48,Yes,DP40,3648 FR CSMT,CUPFCA3648
CUFCA4048,Marvin Windows and Doors,Clad Ultimate French Casement,40,48,Yes,DP40,4048 FR CSMT,CUFCA4048
CUFCA4848,Marvin Windows and Doors,Clad Ultimate French Casement,48,48,Yes,DP40,4848 FR CSMT,CUFCA4848
CUFCA5648,Marvin Windows and Doors,Clad Ultimate French Casement,56,48,Yes,DP40,5648 FR CSMT,CUFCA5648
