,Manufacturer##other##,Window Type##other##,Nominal Width##length##inches,Nominal Height##length##inches,Design Pressure##other##,Description##other##,Model##other##
CCNTPRYCAP4012,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,40,12,DP50,4012 FIXED,CCNTPRYCAP4012
CCNTPRYCAP4014,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,40,14,DP50,4014 FIXED,CCNTPRYCAP4014
CCNTPRYCAP4016,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,40,16,DP50,4016 FIXED,CCNTPRYCAP4016
CCNTPRYCAP4018,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,40,18,DP50,4018 FIXED,CCNTPRYCAP4018
CCNTPRYCAP4020,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,40,20,DP50,4020 FIXED,CCNTPRYCAP4020
CCNTPRYCAP4024,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,40,24,DP50,4024 FIXED,CCNTPRYCAP4024
CCNTPRYCAP4028,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,40,28,DP50,4028 FIXED,CCNTPRYCAP4028
CCNTPRYCAP4032,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,40,32,DP50,4032 FIXED,CCNTPRYCAP4032
CCNTPRYCAP4036,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,40,36,DP50,4036 FIXED,CCNTPRYCAP4036
CCNTPRYCAP4040,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,40,40,DP50,4040 FIXED,CCNTPRYCAP4040
CCNTPRYCAP4044,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,40,44,DP50,4044 FIXED,CCNTPRYCAP4044
CCNTPRYCAP4048,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,40,48,DP50,4048 FIXED,CCNTPRYCAP4048
CCNTPRYCAP4054,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,40,54,DP50,4054 FIXED,CCNTPRYCAP4054
CCNTPRYCAP4056,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,40,56,DP50,4056 FIXED,CCNTPRYCAP4056
CCNTPRYCAP4060,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,40,60,DP50,4060 FIXED,CCNTPRYCAP4060
CCNTPRYCAP4064,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,40,64,DP50,4064 FIXED,CCNTPRYCAP4064
CCNTPRYCAP4072,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,40,72,DP50,4072 FIXED,CCNTPRYCAP4072
CCNTPRYCAP4078,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,40,78,DP50,4078 FIXED,CCNTPRYCAP4078
CCNTPRYCAP4084,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,40,84,DP50,4084 FIXED,CCNTPRYCAP4084
CCNTPRYCAP4092,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,40,92,DP50,4092 FIXED,CCNTPRYCAP4092
CCNTPRYCAP4096,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,40,96,DP50,4096 FIXED,CCNTPRYCAP4096
CCNTPRYCAP4812,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,48,12,DP50,4812 FIXED,CCNTPRYCAP4812
CCNTPRYCAP4814,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,48,14,DP50,4814 FIXED,CCNTPRYCAP4814
CCNTPRYCAP4816,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,48,16,DP50,4816 FIXED,CCNTPRYCAP4816
CCNTPRYCAP4818,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,48,18,DP50,4818 FIXED,CCNTPRYCAP4818
CCNTPRYCAP4820,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,48,20,DP50,4820 FIXED,CCNTPRYCAP4820
CCNTPRYCAP4824,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,48,24,DP50,4824 FIXED,CCNTPRYCAP4824
CCNTPRYCAP4828,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,48,28,DP50,4828 FIXED,CCNTPRYCAP4828
CCNTPRYCAP4832,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,48,32,DP50,4832 FIXED,CCNTPRYCAP4832
CCNTPRYCAP4836,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,48,36,DP50,4836 FIXED,CCNTPRYCAP4836
CCNTPRYCAP4840,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,48,40,DP50,4840 FIXED,CCNTPRYCAP4840
CCNTPRYCAP4844,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,48,44,DP50,4844 FIXED,CCNTPRYCAP4844
CCNTPRYCAP4848,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,48,48,DP50,4848 FIXED,CCNTPRYCAP4848
CCNTPRYCAP4854,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,48,54,DP50,4854 FIXED,CCNTPRYCAP4854
CCNTPRYCAP4856,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,48,56,DP50,4856 FIXED,CCNTPRYCAP4856
CCNTPRYCAP4860,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,48,60,DP50,4860 FIXED,CCNTPRYCAP4860
CCNTPRYCAP4864,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,48,64,DP50,4864 FIXED,CCNTPRYCAP4864
CCNTPRYCAP4872,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,48,72,DP50,4872 FIXED,CCNTPRYCAP4872
CCNTPRYCAP4878,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,48,78,DP50,4878 FIXED,CCNTPRYCAP4878
