,Manufacturer##other##,Window Type##other##,Nominal Width##length##inches,Nominal Height##length##inches,Design Pressure##other##,Description##other##,Model##other##
CUCAP4012,Marvin Windows and Doors,Clad Ultimate Casement Tripane Picture Unit,40,12,DP50,4012 Fixed,CUCAP4012
CUCAP4014,Marvin Windows and Doors,Clad Ultimate Casement Tripane Picture Unit,40,14,DP50,4014 Fixed,CUCAP4014
CUCAP4016,Marvin Windows and Doors,Clad Ultimate Casement Tripane Picture Unit,40,16,DP50,4016 Fixed,CUCAP4016
CUCAP4018,Marvin Windows and Doors,Clad Ultimate Casement Tripane Picture Unit,40,18,DP50,4018 Fixed,CUCAP4018
CUCAP4020,Marvin Windows and Doors,Clad Ultimate Casement Tripane Picture Unit,40,20,DP50,4020 Fixed,CUCAP4020
CUCAP4024,Marvin Windows and Doors,Clad Ultimate Casement Tripane Picture Unit,40,24,DP50,4024 Fixed,CUCAP4024
CUCAP4028,Marvin Windows and Doors,Clad Ultimate Casement Tripane Picture Unit,40,28,DP50,4028 Fixed,CUCAP4028
CUCAP4032,Marvin Windows and Doors,Clad Ultimate Casement Tripane Picture Unit,40,32,DP50,4032 Fixed,CUCAP4032
CUCAP4036,Marvin Windows and Doors,Clad Ultimate Casement Tripane Picture Unit,40,36,DP50,4036 Fixed,CUCAP4036
CUCAP4040,Marvin Windows and Doors,Clad Ultimate Casement Tripane Picture Unit,40,40,DP50,4040 Fixed,CUCAP4040
CUCAP4044,Marvin Windows and Doors,Clad Ultimate Casement Tripane Picture Unit,40,44,DP50,4044 Fixed,CUCAP4044
CUCAP4048,Marvin Windows and Doors,Clad Ultimate Casement Tripane Picture Unit,40,48,DP50,4048 Fixed,CUCAP4048
CUCAP4054,Marvin Windows and Doors,Clad Ultimate Casement Tripane Picture Unit,40,54,DP50,4054 Fixed,CUCAP4054
CUCAP4056,Marvin Windows and Doors,Clad Ultimate Casement Tripane Picture Unit,40,56,DP50,4056 Fixed,CUCAP4056
CUCAP4060,Marvin Windows and Doors,Clad Ultimate Casement Tripane Picture Unit,40,60,DP50,4060 Fixed,CUCAP4060
CUCAP4064,Marvin Windows and Doors,Clad Ultimate Casement Tripane Picture Unit,40,64,DP50,4064 Fixed,CUCAP4064
