,Manufacturer##other##,Window Type##other##,Nominal Width##length##inches,Nominal Height##length##inches,Design Pressure##other##,Description##other##,Model##other##
CCNTPRYPCAP4012,Marvin Windows and Doors,Clad Contemporary Push Out Casement Picture Unit,40,12,DP50,4012 FIXED,CCNTPRYPCAP4012
CCNTPRYPCAP4014,Marvin Windows and Doors,Clad Contemporary Push Out Casement Picture Unit,40,14,DP50,4014 FIXED,CCNTPRYPCAP4014
CCNTPRYPCAP4016,Marvin Windows and Doors,Clad Contemporary Push Out Casement Picture Unit,40,16,DP50,4016 FIXED,CCNTPRYPCAP4016
CCNTPRYPCAP4018,Marvin Windows and Doors,Clad Contemporary Push Out Casement Picture Unit,40,18,DP50,4018 FIXED,CCNTPRYPCAP4018
CCNTPRYPCAP4020,Marvin Windows and Doors,Clad Contemporary Push Out Casement Picture Unit,40,20,DP50,4020 FIXED,CCNTPRYPCAP4020
CCNTPRYPCAP4024,Marvin Windows and Doors,Clad Contemporary Push Out Casement Picture Unit,40,24,DP50,4024 FIXED,CCNTPRYPCAP4024
CCNTPRYPCAP4028,Marvin Windows and Doors,Clad Contemporary Push Out Casement Picture Unit,40,28,DP50,4028 FIXED,CCNTPRYPCAP4028
CCNTPRYPCAP4032,Marvin Windows and Doors,Clad Contemporary Push Out Casement Picture Unit,40,32,DP50,4032 FIXED,CCNTPRYPCAP4032
CCNTPRYPCAP4036,Marvin Windows and Doors,Clad Contemporary Push Out Casement Picture Unit,40,36,DP50,4036 FIXED,CCNTPRYPCAP4036
CCNTPRYPCAP4040,Marvin Windows and Doors,Clad Contemporary Push Out Casement Picture Unit,40,40,DP50,4040 FIXED,CCNTPRYPCAP4040
CCNTPRYPCAP4044,Marvin Windows and Doors,Clad Contemporary Push Out Casement Picture Unit,40,44,DP50,4044 FIXED,CCNTPRYPCAP4044
CCNTPRYPCAP4048,Marvin Windows and Doors,Clad Contemporary Push Out Casement Picture Unit,40,48,DP50,4048 FIXED,CCNTPRYPCAP4048
CCNTPRYPCAP4054,Marvin Windows and Doors,Clad Contemporary Push Out Casement Picture Unit,40,54,DP50,4054 FIXED,CCNTPRYPCAP4054
CCNTPRYPCAP4056,Marvin Windows and Doors,Clad Contemporary Push Out Casement Picture Unit,40,56,DP50,4056 FIXED,CCNTPRYPCAP4056
CCNTPRYPCAP4060,Marvin Windows and Doors,Clad Contemporary Push Out Casement Picture Unit,40,60,DP50,4060 FIXED,CCNTPRYPCAP4060
CCNTPRYPCAP4064,Marvin Windows and Doors,Clad Contemporary Push Out Casement Picture Unit,40,64,DP50,4064 FIXED,CCNTPRYPCAP4064
CCNTPRYPCAP4072,Marvin Windows and Doors,Clad Contemporary Push Out Casement Picture Unit,40,72,DP50,4072 FIXED,CCNTPRYPCAP4072
CCNTPRYPCAP4078,Marvin Windows and Doors,Clad Contemporary Push Out Casement Picture Unit,40,78,DP50,4078 FIXED,CCNTPRYPCAP4078
CCNTPRYPCAP4084,Marvin Windows and Doors,Clad Contemporary Push Out Casement Picture Unit,40,84,DP50,4084 FIXED,CCNTPRYPCAP4084
CCNTPRYPCAP4092,Marvin Windows and Doors,Clad Contemporary Push Out Casement Picture Unit,40,92,DP50,4092 FIXED,CCNTPRYPCAP4092
CCNTPRYPCAP4096,Marvin Windows and Doors,Clad Contemporary Push Out Casement Picture Unit,40,96,DP50,4096 FIXED,CCNTPRYPCAP4096
CCNTPRYPCAP4812,Marvin Windows and Doors,Clad Contemporary Push Out Casement Picture Unit,48,12,DP50,4812 FIXED,CCNTPRYPCAP4812
CCNTPRYPCAP4814,Marvin Windows and Doors,Clad Contemporary Push Out Casement Picture Unit,48,14,DP50,4814 FIXED,CCNTPRYPCAP4814
CCNTPRYPCAP4816,Marvin Windows and Doors,Clad Contemporary Push Out Casement Picture Unit,48,16,DP50,4816 FIXED,CCNTPRYPCAP4816
CCNTPRYPCAP4818,Marvin Windows and Doors,Clad Contemporary Push Out Casement Picture Unit,48,18,DP50,4818 FIXED,CCNTPRYPCAP4818
CCNTPRYPCAP4820,Marvin Windows and Doors,Clad Contemporary Push Out Casement Picture Unit,48,20,DP50,4820 FIXED,CCNTPRYPCAP4820
CCNTPRYPCAP4824,Marvin Windows and Doors,Clad Contemporary Push Out Casement Picture Unit,48,24,DP50,4824 FIXED,CCNTPRYPCAP4824
CCNTPRYPCAP4828,Marvin Windows and Doors,Clad Contemporary Push Out Casement Picture Unit,48,28,DP50,4828 FIXED,CCNTPRYPCAP4828
CCNTPRYPCAP4832,Marvin Windows and Doors,Clad Contemporary Push Out Casement Picture Unit,48,32,DP50,4832 FIXED,CCNTPRYPCAP4832
CCNTPRYPCAP4836,Marvin Windows and Doors,Clad Contemporary Push Out Casement Picture Unit,48,36,DP50,4836 FIXED,CCNTPRYPCAP4836
CCNTPRYPCAP4840,Marvin Windows and Doors,Clad Contemporary Push Out Casement Picture Unit,48,40,DP50,4840 FIXED,CCNTPRYPCAP4840
CCNTPRYPCAP4844,Marvin Windows and Doors,Clad Contemporary Push Out Casement Picture Unit,48,44,DP50,4844 FIXED,CCNTPRYPCAP4844
CCNTPRYPCAP4848,Marvin Windows and Doors,Clad Contemporary Push Out Casement Picture Unit,48,48,DP50,4848 FIXED,CCNTPRYPCAP4848
CCNTPRYPCAP4854,Marvin Windows and Doors,Clad Contemporary Push Out Casement Picture Unit,48,54,DP50,4854 FIXED,CCNTPRYPCAP4854
CCNTPRYPCAP4856,Marvin Windows and Doors,Clad Contemporary Push Out Casement Picture Unit,48,56,DP50,4856 FIXED,CCNTPRYPCAP4856
CCNTPRYPCAP4860,Marvin Windows and Doors,Clad Contemporary Push Out Casement Picture Unit,48,60,DP50,4860 FIXED,CCNTPRYPCAP4860
CCNTPRYPCAP4864,Marvin Windows and Doors,Clad Contemporary Push Out Casement Picture Unit,48,64,DP50,4864 FIXED,CCNTPRYPCAP4864
CCNTPRYPCAP4872,Marvin Windows and Doors,Clad Contemporary Push Out Casement Picture Unit,48,72,DP50,4872 FIXED,CCNTPRYPCAP4872
CCNTPRYPCAP4878,Marvin Windows and Doors,Clad Contemporary Push Out Casement Picture Unit,48,78,DP50,4878 FIXED,CCNTPRYPCAP4878
CCNTPRYPCAP4884,Marvin Windows and Doors,Clad Contemporary Push Out Casement Picture Unit,48,84,DP50,4884 FIXED,CCNTPRYPCAP4884
CCNTPRYPCAP4892,Marvin Windows and Doors,Clad Contemporary Push Out Casement Picture Unit,48,92,DP50,4892 FIXED,CCNTPRYPCAP4892
CCNTPRYPCAP4896,Marvin Windows and Doors,Clad Contemporary Push Out Casement Picture Unit,48,96,DP50,4896 FIXED,CCNTPRYPCAP4896
CCNTPRYPCAP5612,Marvin Windows and Doors,Clad Contemporary Push Out Casement Picture Unit,56,12,DP50,5612 FIXED,CCNTPRYPCAP5612
CCNTPRYPCAP5614,Marvin Windows and Doors,Clad Contemporary Push Out Casement Picture Unit,56,14,DP50,5614 FIXED,CCNTPRYPCAP5614
CCNTPRYPCAP5616,Marvin Windows and Doors,Clad Contemporary Push Out Casement Picture Unit,56,16,DP50,5616 FIXED,CCNTPRYPCAP5616
CCNTPRYPCAP5618,Marvin Windows and Doors,Clad Contemporary Push Out Casement Picture Unit,56,18,DP50,5618 FIXED,CCNTPRYPCAP5618
