,Manufacturer##other##,Window Type##other##,Nominal Width##length##inches,Nominal Height##length##inches,Design Pressure##other##,Description##other##,Model##other##


CUPCAP4012,Marvin Windows and Doors,Clad Ultimate Push Out Casement Picture Unit,40,12,DP50,4012 Fixed,CUPCAP4012
CUPCAP4014,Marvin Windows and Doors,Clad Ultimate Push Out Casement Picture Unit,40,14,DP50,4014 Fixed,CUPCAP4014
CUPCAP4016,Marvin Windows and Doors,Clad Ultimate Push Out Casement Picture Unit,40,16,DP50,4016 Fixed,CUPCAP4016
CUPCAP4018,Marvin Windows and Doors,Clad Ultimate Push Out Casement Picture Unit,40,18,DP50,4018 Fixed,CUPCAP4018
CUPCAP4020,Marvin Windows and Doors,Clad Ultimate Push Out Casement Picture Unit,40,20,DP50,4020 Fixed,CUPCAP4020
CUPCAP4024,Marvin Windows and Doors,Clad Ultimate Push Out Casement Picture Unit,40,24,DP50,4024 Fixed,CUPCAP4024
CUPCAP4028,Marvin Windows and Doors,Clad Ultimate Push Out Casement Picture Unit,40,28,DP50,4028 Fixed,CUPCAP4028
CUPCAP4032,Marvin Windows and Doors,Clad Ultimate Push Out Casement Picture Unit,40,32,DP50,4032 Fixed,CUPCAP4032
CUPCAP4036,Marvin Windows and Doors,Clad Ultimate Push Out Casement Picture Unit,40,36,DP50,4036 Fixed,CUPCAP4036
CUPCAP4040,Marvin Windows and Doors,Clad Ultimate Push Out Casement Picture Unit,40,40,DP50,4040 Fixed,CUPCAP4040
CUPCAP4044,Marvin Windows and Doors,Clad Ultimate Push Out Casement Picture Unit,40,44,DP50,4044 Fixed,CUPCAP4044
CUPCAP4048,Marvin Windows and Doors,Clad Ultimate Push Out Casement Picture Unit,40,48,DP50,4048 Fixed,CUPCAP4048
CUPCAP4054,Marvin Windows and Doors,Clad Ultimate Push Out Casement Picture Unit,40,54,DP50,4054 Fixed,CUPCAP4054
CUPCAP4056,Marvin Windows and Doors,Clad Ultimate Push Out Casement Picture Unit,40,56,DP50,4056 Fixed,CUPCAP4056
CUPCAP4060,Marvin Windows and Doors,Clad Ultimate Push Out Casement Picture Unit,40,60,DP50,4060 Fixed,CUPCAP4060
CUPCAP4064,Marvin Windows and Doors,Clad Ultimate Push Out Casement Picture Unit,40,64,DP50,4064 Fixed,CUPCAP4064
CUPCAP4072,Marvin Windows and Doors,Clad Ultimate Push Out Casement Picture Unit,40,72,DP50,4072 Fixed,CUPCAP4072
CUPCAP4078,Marvin Windows and Doors,Clad Ultimate Push Out Casement Picture Unit,40,78,DP50,4078 Fixed,CUPCAP4078
CUPCAP4084,Marvin Windows and Doors,Clad Ultimate Push Out Casement Picture Unit,40,84,DP50,4084 Fixed,CUPCAP4084
CUPCAP4092,Marvin Windows and Doors,Clad Ultimate Push Out Casement Picture Unit,40,92,DP50,4092 Fixed,CUPCAP4092
CUPCAP4096,Marvin Windows and Doors,Clad Ultimate Push Out Casement Picture Unit,40,96,DP50,4096 Fixed,CUPCAP4096

CUPCAP4812,Marvin Windows and Doors,Clad Ultimate Push Out Casement Picture Unit,48,12,DP50,4812 Fixed,CUPCAP4812
