,Manufacturer##other##,Window Type##other##,Nominal Width##length##inches,Nominal Height##length##inches,Egress Window##other##,Design Pressure##other##,Description##other##,Model##other##
CCNTPRYPCA1614,Marvin Windows and Doors,Clad Contemporary Push Out Casement,16,14,No,DP50,1614 CSMT,CCNTPRYPCA1614
CCNTPRYPCA1616,Marvin Windows and Doors,Clad Contemporary Push Out Casement,16,16,No,DP50,1616 CSMT,CCNTPRYPCA1616
CCNTPRYPCA1618,Marvin Windows and Doors,Clad Contemporary Push Out Casement,16,18,No,DP50,1618 CSMT,CCNTPRYPCA1618
CCNTPRYPCA1620,Marvin Windows and Doors,Clad Contemporary Push Out Casement,16,20,No,DP50,1620 CSMT,CCNTPRYPCA1620
CCNTPRYPCA1624,Marvin Windows and Doors,Clad Contemporary Push Out Casement,16,24,No,DP50,1624 CSMT,CCNTPRYPCA1624
CCNTPRYPCA1628,Marvin Windows and Doors,Clad Contemporary Push Out Casement,16,28,No,DP50,1628 CSMT,CCNTPRYPCA1628
CCNTPRYPCA1632,Marvin Windows and Doors,Clad Contemporary Push Out Casement,16,32,No,DP50,1632 CSMT,CCNTPRYPCA1632
CCNTPRYPCA1636,Marvin Windows and Doors,Clad Contemporary Push Out Casement,16,36,No,DP50,1636 CSMT,CCNTPRYPCA1636
CCNTPRYPCA1640,Marvin Windows and Doors,Clad Contemporary Push Out Casement,16,40,No,DP50,1640 CSMT,CCNTPRYPCA1640
CCNTPRYPCA1644,Marvin Windows and Doors,Clad Contemporary Push Out Casement,16,44,No,DP50,1644 CSMT,CCNTPRYPCA1644
CCNTPRYPCA1648,Marvin Windows and Doors,Clad Contemporary Push Out Casement,16,48,No,DP50,1648 CSMT,CCNTPRYPCA1648
CCNTPRYPCA1654,Marvin Windows and Doors,Clad Contemporary Push Out Casement,16,54,No,DP50,1654 CSMT,CCNTPRYPCA1654
CCNTPRYPCA1656,Marvin Windows and Doors,Clad Contemporary Push Out Casement,16,56,No,DP50,1656 CSMT,CCNTPRYPCA1656
CCNTPRYPCA1660,Marvin Windows and Doors,Clad Contemporary Push Out Casement,16,60,No,DP50,1660 CSMT,CCNTPRYPCA1660
CCNTPRYPCA1664,Marvin Windows and Doors,Clad Contemporary Push Out Casement,16,64,No,DP50,1664 CSMT,CCNTPRYPCA1664
CCNTPRYPCA1672,Marvin Windows and Doors,Clad Contemporary Push Out Casement,16,72,No,DP50,1672 CSMT,CCNTPRYPCA1672
CCNTPRYPCA1678,Marvin Windows and Doors,Clad Contemporary Push Out Casement,16,78,No,DP50,1678 CSMT,CCNTPRYPCA1678
CCNTPRYPCA1684,Marvin Windows and Doors,Clad Contemporary Push Out Casement,16,84,No,DP50,1684 CSMT,CCNTPRYPCA1684
CCNTPRYPCA1692,Marvin Windows and Doors,Clad Contemporary Push Out Casement,16,92,No,DP50,1692 CSMT,CCNTPRYPCA1692
CCNTPRYPCA1696,Marvin Windows and Doors,Clad Contemporary Push Out Casement,16,96,No,DP50,1696 CSMT,CCNTPRYPCA1696
CCNTPRYPCA1814,Marvin Windows and Doors,Clad Contemporary Push Out Casement,18,14,No,DP50,1814 CSMT,CCNTPRYPCA1814
CCNTPRYPCA1816,Marvin Windows and Doors,Clad Contemporary Push Out Casement,18,16,No,DP50,1816 CSMT,CCNTPRYPCA1816
CCNTPRYPCA1818,Marvin Windows and Doors,Clad Contemporary Push Out Casement,18,18,No,DP50,1818 CSMT,CCNTPRYPCA1818
CCNTPRYPCA1820,Marvin Windows and Doors,Clad Contemporary Push Out Casement,18,20,No,DP50,1820 CSMT,CCNTPRYPCA1820
CCNTPRYPCA1824,Marvin Windows and Doors,Clad Contemporary Push Out Casement,18,24,No,DP50,1824 CSMT,CCNTPRYPCA1824
CCNTPRYPCA1828,Marvin Windows and Doors,Clad Contemporary Push Out Casement,18,28,No,DP50,1828 CSMT,CCNTPRYPCA1828
CCNTPRYPCA1836,Marvin Windows and Doors,Clad Contemporary Push Out Casement,18,36,No,DP50,1836 CSMT,CCNTPRYPCA1836
CCNTPRYPCA1840,Marvin Windows and Doors,Clad Contemporary Push Out Casement,18,40,No,DP50,1840 CSMT,CCNTPRYPCA1840
CCNTPRYPCA1844,Marvin Windows and Doors,Clad Contemporary Push Out Casement,18,44,No,DP50,1844 CSMT,CCNTPRYPCA1844
CCNTPRYPCA1848,Marvin Windows and Doors,Clad Contemporary Push Out Casement,18,48,No,DP50,1848 CSMT,CCNTPRYPCA1848
CCNTPRYPCA1854,Marvin Windows and Doors,Clad Contemporary Push Out Casement,18,54,No,DP50,1854 CSMT,CCNTPRYPCA1854
CCNTPRYPCA1856,Marvin Windows and Doors,Clad Contemporary Push Out Casement,18,56,No,DP50,1856 CSMT,CCNTPRYPCA1856
CCNTPRYPCA1860,Marvin Windows and Doors,Clad Contemporary Push Out Casement,18,60,No,DP50,1860 CSMT,CCNTPRYPCA1860
CCNTPRYPCA1864,Marvin Windows and Doors,Clad Contemporary Push Out Casement,18,64,No,DP50,1864 CSMT,CCNTPRYPCA1864
CCNTPRYPCA1872,Marvin Windows and Doors,Clad Contemporary Push Out Casement,18,72,No,DP50,1872 CSMT,CCNTPRYPCA1872
CCNTPRYPCA1878,Marvin Windows and Doors,Clad Contemporary Push Out Casement,18,78,No,DP50,1878 CSMT,CCNTPRYPCA1878
CCNTPRYPCA1884,Marvin Windows and Doors,Clad Contemporary Push Out Casement,18,84,No,DP50,1884 CSMT,CCNTPRYPCA1884
CCNTPRYPCA1892,Marvin Windows and Doors,Clad Contemporary Push Out Casement,18,92,No,DP50,1892 CSMT,CCNTPRYPCA1892
CCNTPRYPCA1896,Marvin Windows and Doors,Clad Contemporary Push Out Casement,18,96,No,DP50,1896 CSMT,CCNTPRYPCA1896
CCNTPRYPCA2014,Marvin Windows and Doors,Clad Contemporary Push Out Casement,20,14,No,DP50,2014 CSMT,CCNTPRYPCA2014
CCNTPRYPCA2016,Marvin Windows and Doors,Clad Contemporary Push Out Casement,20,16,No,DP50,2016 CSMT,CCNTPRYPCA2016
CCNTPRYPCA2018,Marvin Windows and Doors,Clad Contemporary Push Out Casement,20,18,No,DP50,2018 CSMT,CCNTPRYPCA2018
CCNTPRYPCA2020,Marvin Windows and Doors,Clad Contemporary Push Out Casement,20,20,No,DP50,2020 CSMT,CCNTPRYPCA2020
CCNTPRYPCA2024,Marvin Windows and Doors,Clad Contemporary Push Out Casement,20,24,No,DP50,2024 CSMT,CCNTPRYPCA2024
CCNTPRYPCA2028,Marvin Windows and Doors,Clad Contemporary Push Out Casement,20,28,No,DP50,2028 CSMT,CCNTPRYPCA2028
CCNTPRYPCA2032,Marvin Windows and Doors,Clad Contemporary Push Out Casement,20,32,No,DP50,2032 CSMT,CCNTPRYPCA2032
CCNTPRYPCA2036,Marvin Windows and Doors,Clad Contemporary Push Out Casement,20,36,No,DP50,2036 CSMT,CCNTPRYPCA2036
CCNTPRYPCA2040,Marvin Windows and Doors,Clad Contemporary Push Out Casement,20,40,No,DP50,2040 CSMT,CCNTPRYPCA2040
CCNTPRYPCA2044,Marvin Windows and Doors,Clad Contemporary Push Out Casement,20,44,No,DP50,2044 CSMT,CCNTPRYPCA2044
CCNTPRYPCA2048,Marvin Windows and Doors,Clad Contemporary Push Out Casement,20,48,No,DP50,2048 CSMT,CCNTPRYPCA2048
CCNTPRYPCA2054,Marvin Windows and Doors,Clad Contemporary Push Out Casement,20,54,No,DP50,2054 CSMT,CCNTPRYPCA2054
CCNTPRYPCA2056,Marvin Windows and Doors,Clad Contemporary Push Out Casement,20,56,No,DP50,2056 CSMT,CCNTPRYPCA2056
CCNTPRYPCA2064,Marvin Windows and Doors,Clad Contemporary Push Out Casement,20,64,No,DP50,2064 CSMT,CCNTPRYPCA2064
CCNTPRYPCA2072,Marvin Windows and Doors,Clad Contemporary Push Out Casement,20,72,No,DP50,2072 CSMT,CCNTPRYPCA2072
CCNTPRYPCA2078,Marvin Windows and Doors,Clad Contemporary Push Out Casement,20,78,No,DP50,2078 CSMT,CCNTPRYPCA2078
CCNTPRYPCA2084,Marvin Windows and Doors,Clad Contemporary Push Out Casement,20,84,No,DP50,2084 CSMT,CCNTPRYPCA2084
CCNTPRYPCA2092,Marvin Windows and Doors,Clad Contemporary Push Out Casement,20,92,No,DP50,2092 CSMT,CCNTPRYPCA2092
CCNTPRYPCA2096,Marvin Windows and Doors,Clad Contemporary Push Out Casement,20,96,No,DP50,2096 CSMT,CCNTPRYPCA2096
CCNTPRYPCA2414,Marvin Windows and Doors,Clad Contemporary Push Out Casement,24,14,No,DP50,2414 CSMT,CCNTPRYPCA2414
CCNTPRYPCA2416,Marvin Windows and Doors,Clad Contemporary Push Out Casement,24,16,No,DP50,2416 CSMT,CCNTPRYPCA2416
CCNTPRYPCA2418,Marvin Windows and Doors,Clad Contemporary Push Out Casement,24,18,No,DP50,2418 CSMT,CCNTPRYPCA2418
CCNTPRYPCA2420,Marvin Windows and Doors,Clad Contemporary Push Out Casement,24,20,No,DP50,2420 CSMT,CCNTPRYPCA2420
