,Manufacturer##other##,Window Type##other##,Nominal Width##length##inches,Nominal Height##length##inches,Egress Window##other##,Design Pressure##other##,Description##other##,Model##other##


CUPCA1616,Marvin Windows and Doors,Clad Ultimate Push Out Casement,16,16,No,DP50,1616 CSMT,CUPCA1616
CUPCA1618,Marvin Windows and Doors,Clad Ultimate Push Out Casement,16,18,No,DP50,1618 CSMT,CUPCA1618
CUPCA1620,Marvin Windows and Doors,Clad Ultimate Push Out Casement,16,20,No,DP50,1620 CSMT,CUPCA1620
CUPCA1624,Marvin Windows and Doors,Clad Ultimate Push Out Casement,16,24,No,DP50,1624 CSMT,CUPCA1624
CUPCA1628,Marvin Windows and Doors,Clad Ultimate Push Out Casement,16,28,No,DP50,1628 CSMT,CUPCA1628
CUPCA1632,Marvin Windows and Doors,Clad Ultimate Push Out Casement,16,32,No,DP50,1632 CSMT,CUPCA1632
CUPCA1636,Marvin Windows and Doors,Clad Ultimate Push Out Casement,16,36,No,DP50,1636 CSMT,CUPCA1636
CUPCA1640,Marvin Windows and Doors,Clad Ultimate Push Out Casement,16,40,No,DP50,1640 CSMT,CUPCA1640
CUPCA1644,Marvin Windows and Doors,Clad Ultimate Push Out Casement,16,44,No,DP50,1644 CSMT,CUPCA1644
CUPCA1648,Marvin Windows and Doors,Clad Ultimate Push Out Casement,16,48,No,DP50,1648 CSMT,CUPCA1648
CUPCA1654,Marvin Windows and Doors,Clad Ultimate Push Out Casement,16,54,No,DP50,1654 CSMT,CUPCA1654
CUPCA1656,Marvin Windows and Doors,Clad Ultimate Push Out Casement,16,56,No,DP50,1656 CSMT,CUPCA1656
CUPCA1660,Marvin Windows and Doors,Clad Ultimate Push Out Casement,16,60,No,DP50,1660 CSMT,CUPCA1660
CUPCA1664,Marvin Windows and Doors,Clad Ultimate Push Out Casement,16,64,No,DP50,1664 CSMT,CUPCA1664
CUPCA1672,Marvin Windows and Doors,Clad Ultimate Push Out Casement,16,72,No,DP50,1672 CSMT,CUPCA1672
CUPCA1678,Marvin Windows and Doors,Clad Ultimate Push Out Casement,16,78,No,DP50,1678 CSMT,CUPCA1678
CUPCA1684,Marvin Windows and Doors,Clad Ultimate Push Out Casement,16,84,No,DP50,1684 CSMT,CUPCA1684
CUPCA1692,Marvin Windows and Doors,Clad Ultimate Push Out Casement,16,92,No,DP50,1692 CSMT,CUPCA1692
CUPCA1696,Marvin Windows and Doors,Clad Ultimate Push Out Casement,16,96,No,DP50,1696 CSMT,CUPCA1696

CUPCA1816,Marvin Windows and Doors,Clad Ultimate Push Out Casement,18,16,No,DP50,1816 CSMT,CUPCA1816
CUPCA1818,Marvin Windows and Doors,Clad Ultimate Push Out Casement,18,18,No,DP50,1818 CSMT,CUPCA1818
CUPCA1820,Marvin Windows and Doors,Clad Ultimate Push Out Casement,18,20,No,DP50,1820 CSMT,CUPCA1820
CUPCA1824,Marvin Windows and Doors,Clad Ultimate Push Out Casement,18,24,No,DP50,1824 CSMT,CUPCA1824
CUPCA1828,Marvin Windows and Doors,Clad Ultimate Push Out Casement,18,28,No,DP50,1828 CSMT,CUPCA1828
