,Manufacturer##other##,Window Type##other##,Nominal Unit Width##length##inches,Nominal Height##length##inches,Egress Window##other##,Design Pressure##other##,Description##other##,Model##other##
CUDH-NG1612,Marvin Windows and Doors,Clad Ultimate Double Hung-NG,22,32,No,DP50,1612 DBHG,CUDH-NG1612
CUDH-NG1614,Marvin Windows and Doors,Clad Ultimate Double Hung-NG,22,36,No,DP50,1614 DBHG,CUDH-NG1614
CUDH-NG1616,Marvin Windows and Doors,Clad Ultimate Double Hung-NG,22,40,No,DP50,1616 DBHG,CUDH-NG1616
CUDH-NG1618,Marvin Windows and Doors,Clad Ultimate Double Hung-NG,22,44,No,DP50,1618 DBHG,CUDH-NG1618
CUDH-NG1620,Marvin Windows and Doors,Clad Ultimate Double Hung-NG,22,48,No,DP50,1620 DBHG,CUDH-NG1620
CUDH-NG1622,Marvin Windows and Doors,Clad Ultimate Double Hung-NG,22,52,No,DP50,1622 DBHG,CUDH-NG1622
CUDH-NG1624,Marvin Windows and Doors,Clad Ultimate Double Hung-NG,22,56,No,DP50,1624 DBHG,CUDH-NG1624
CUDH-NG1626,Marvin Windows and Doors,Clad Ultimate Double Hung-NG,22,60,No,DP50,1626 DBHG,CUDH-NG1626
CUDH-NG1628,Marvin Windows and Doors,Clad Ultimate Double Hung-NG,22,64,No,DP50,1628 DBHG,CUDH-NG1628
CUDH-NG1630,Marvin Windows and Doors,Clad Ultimate Double Hung-NG,22,68,No,DP50,1630 DBHG,CUDH-NG1630
CUDH-NG1632,Marvin Windows and Doors,Clad Ultimate Double Hung-NG,22,72,No,DP50,1632 DBHG,CUDH-NG1632
CUDH-NG1634,Marvin Windows and Doors,Clad Ultimate Double Hung-NG,22,76,No,DP50,1634 DBHG,CUDH-NG1634
CUDH-NG1636,Marvin Windows and Doors,Clad Ultimate Double Hung-NG,22,80,No,DP50,1636 DBHG,CUDH-NG1636
CUDH-NG1640,Marvin Windows and Doors,Clad Ultimate Double Hung-NG,22,88,No,DP50,1640 DBHG,CUDH-NG1640
