,Manufacturer##other##,Window Type##other##,Nominal Width##length##inches,Nominal Height##length##inches,Egress Window##other##,Design Pressure##other##,Description##other##,Model##other##
CUSH-NG1612,Marvin Windows and Doors,Clad Ultimate Single Hung-NG,22,32,No,DP50,1612 SNGHG,CUSH-NG1612
CUSH-NG1614,Marvin Windows and Doors,Clad Ultimate Single Hung-NG,22,36,No,DP50,1614 SNGHG,CUSH-NG1614
CUSH-NG1616,Marvin Windows and Doors,Clad Ultimate Single Hung-NG,22,40,No,DP50,1616 SNGHG,CUSH-NG1616
CUSH-NG1618,Marvin Windows and Doors,Clad Ultimate Single Hung-NG,22,44,No,DP50,1618 SNGHG,CUSH-NG1618
CUSH-NG1620,Marvin Windows and Doors,Clad Ultimate Single Hung-NG,22,48,No,DP50,1620 SNGHG,CUSH-NG1620
CUSH-NG1622,Marvin Windows and Doors,Clad Ultimate Single Hung-NG,22,52,No,DP50,1622 SNGHG,CUSH-NG1622
CUSH-NG1624,Marvin Windows and Doors,Clad Ultimate Single Hung-NG,22,56,No,DP50,1624 SNGHG,CUSH-NG1624
CUSH-NG1626,Marvin Windows and Doors,Clad Ultimate Single Hung-NG,22,60,No,DP50,1626 SNGHG,CUSH-NG1626
CUSH-NG1628,Marvin Windows and Doors,Clad Ultimate Single Hung-NG,22,64,No,DP50,1628 SNGHG,CUSH-NG1628
CUSH-NG1630,Marvin Windows and Doors,Clad Ultimate Single Hung-NG,22,68,No,DP50,1630 SNGHG,CUSH-NG1630
CUSH-NG1632,Marvin Windows and Doors,Clad Ultimate Single Hung-NG,22,72,No,DP50,1632 SNGHG,CUSH-NG1632
CUSH-NG1634,Marvin Windows and Doors,Clad Ultimate Single Hung-NG,22,76,No,DP50,1634 SNGHG,CUSH-NG1634
CUSH-NG1636,Marvin Windows and Doors,Clad Ultimate Single Hung-NG,22,80,No,DP50,1636 SNGHG,CUSH-NG1636
CUSH-NG1640,Marvin Windows and Doors,Clad Ultimate Single Hung-NG,22,88,No,DP50,1640 SNGHG,CUSH-NG1640
CUSH-NG1642,Marvin Windows and Doors,Clad Ultimate Single Hung-NG,22,92,No,DP50,1642 SNGHG,CUSH-NG1642
CUSH-NG1650,Marvin Windows and Doors,Clad Ultimate Single Hung-NG,22,108,Yes,DP50,1650 SNGHG,CUSH-NG1650
CUSH-NG1656,Marvin Windows and Doors,Clad Ultimate Single Hung-NG,22,120,Yes,DP50,1656 SNGHG,CUSH-NG1656
CUSH-NG2012,Marvin Windows and Doors,Clad Ultimate Single Hung-NG,26,32,No,DP50,2012 SNGHG,CUSH-NG2012
CUSH-NG2014,Marvin Windows and Doors,Clad Ultimate Single Hung-NG,26,36,No,DP50,2014 SNGHG,CUSH-NG2014
CUSH-NG2016,Marvin Windows and Doors,Clad Ultimate Single Hung-NG,26,40,No,DP50,2016 SNGHG,CUSH-NG2016
CUSH-NG2018,Marvin Windows and Doors,Clad Ultimate Single Hung-NG,26,44,No,DP50,2018 SNGHG,CUSH-NG2018
CUSH-NG2020,Marvin Windows and Doors,Clad Ultimate Single Hung-NG,26,48,No,DP50,2020 SNGHG,CUSH-NG2020
CUSH-NG2022,Marvin Windows and Doors,Clad Ultimate Single Hung-NG,26,52,No,DP50,2022 SNGHG,CUSH-NG2022
CUSH-NG2024,Marvin Windows and Doors,Clad Ultimate Single Hung-NG,26,56,No,DP50,2024 SNGHG,CUSH-NG2024
CUSH-NG2026,Marvin Windows and Doors,Clad Ultimate Single Hung-NG,26,60,No,DP50,2026 SNGHG,CUSH-NG2026
CUSH-NG2028,Marvin Windows and Doors,Clad Ultimate Single Hung-NG,26,64,No,DP50,2028 SNGHG,CUSH-NG2028
CUSH-NG2030,Marvin Windows and Doors,Clad Ultimate Single Hung-NG,26,68,No,DP50,2030 SNGHG,CUSH-NG2030
CUSH-NG2032,Marvin Windows and Doors,Clad Ultimate Single Hung-NG,26,72,No,DP50,2032 SNGHG,CUSH-NG2032
CUSH-NG2034,Marvin Windows and Doors,Clad Ultimate Single Hung-NG,26,76,No,DP50,2034 SNGHG,CUSH-NG2034
CUSH-NG2036,Marvin Windows and Doors,Clad Ultimate Single Hung-NG,26,80,No,DP50,2036 SNGHG,CUSH-NG2036
CUSH-NG2040,Marvin Windows and Doors,Clad Ultimate Single Hung-NG,26,88,Yes,DP50,2040 SNGHG,CUSH-NG2040
CUSH-NG2042,Marvin Windows and Doors,Clad Ultimate Single Hung-NG,26,92,Yes,DP50,2042 SNGHG,CUSH-NG2042
CUSH-NG2050,Marvin Windows and Doors,Clad Ultimate Single Hung-NG,26,108,Yes,DP50,2050 SNGHG,CUSH-NG2050
CUSH-NG2056,Marvin Windows and Doors,Clad Ultimate Single Hung-NG,26,120,Yes,DP50,2056 SNGHG,CUSH-NG2056
CUSH-NG2412,Marvin Windows and Doors,Clad Ultimate Single Hung-NG,30,32,No,DP50,2412 SNGHG,CUSH-NG2412
CUSH-NG2414,Marvin Windows and Doors,Clad Ultimate Single Hung-NG,30,36,No,DP50,2414 SNGHG,CUSH-NG2414
CUSH-NG2416,Marvin Windows and Doors,Clad Ultimate Single Hung-NG,30,40,No,DP50,2416 SNGHG,CUSH-NG2416
CUSH-NG2418,Marvin Windows and Doors,Clad Ultimate Single Hung-NG,30,44,No,DP50,2418 SNGHG,CUSH-NG2418
CUSH-NG2420,Marvin Windows and Doors,Clad Ultimate Single Hung-NG,30,48,No,DP50,2420 SNGHG,CUSH-NG2420
CUSH-NG2422,Marvin Windows and Doors,Clad Ultimate Single Hung-NG,30,52,No,DP50,2422 SNGHG,CUSH-NG2422
CUSH-NG2424,Marvin Windows and Doors,Clad Ultimate Single Hung-NG,30,56,No,DP50,2424 SNGHG,CUSH-NG2424
CUSH-NG2426,Marvin Windows and Doors,Clad Ultimate Single Hung-NG,30,60,No,DP50,2426 SNGHG,CUSH-NG2426
CUSH-NG2428,Marvin Windows and Doors,Clad Ultimate Single Hung-NG,30,64,No,DP50,2428 SNGHG,CUSH-NG2428
CUSH-NG2430,Marvin Windows and Doors,Clad Ultimate Single Hung-NG,30,68,No,DP50,2430 SNGHG,CUSH-NG2430
CUSH-NG2432,Marvin Windows and Doors,Clad Ultimate Single Hung-NG,30,72,No,DP50,2432 SNGHG,CUSH-NG2432
CUSH-NG2434,Marvin Windows and Doors,Clad Ultimate Single Hung-NG,30,76,Yes,DP50,2434 SNGHG,CUSH-NG2434
CUSH-NG2436,Marvin Windows and Doors,Clad Ultimate Single Hung-NG,30,80,Yes,DP50,2436 SNGHG,CUSH-NG2436
CUSH-NG2440,Marvin Windows and Doors,Clad Ultimate Single Hung-NG,30,88,Yes,DP50,2440 SNGHG,CUSH-NG2440
CUSH-NG2442,Marvin Windows and Doors,Clad Ultimate Single Hung-NG,30,92,Yes,DP50,2442 SNGHG,CUSH-NG2442
CUSH-NG2450,Marvin Windows and Doors,Clad Ultimate Single Hung-NG,30,108,Yes,DP50,2450 SNGHG,CUSH-NG2450
CUSH-NG2456,Marvin Windows and Doors,Clad Ultimate Single Hung-NG,30,120,Yes,DP50,2456 SNGHG,CUSH-NG2456
CUSH-NG2612,Marvin Windows and Doors,Clad Ultimate Single Hung-NG,32,32,No,DP50,2612 SNGHG,CUSH-NG2612
CUSH-NG2614,Marvin Windows and Doors,Clad Ultimate Single Hung-NG,32,36,No,DP50,2614 SNGHG,CUSH-NG2614
CUSH-NG2616,Marvin Windows and Doors,Clad Ultimate Single Hung-NG,32,40,No,DP50,2616 SNGHG,CUSH-NG2616
CUSH-NG2618,Marvin Windows and Doors,Clad Ultimate Single Hung-NG,32,44,No,DP50,2618 SNGHG,CUSH-NG2618
CUSH-NG2620,Marvin Windows and Doors,Clad Ultimate Single Hung-NG,32,48,No,DP50,2620 SNGHG,CUSH-NG2620
CUSH-NG2622,Marvin Windows and Doors,Clad Ultimate Single Hung-NG,32,52,No,DP50,2622 SNGHG,CUSH-NG2622
CUSH-NG2624,Marvin Windows and Doors,Clad Ultimate Single Hung-NG,32,56,No,DP50,2624 SNGHG,CUSH-NG2624
CUSH-NG2626,Marvin Windows and Doors,Clad Ultimate Single Hung-NG,32,60,No,DP50,2626 SNGHG,CUSH-NG2626
CUSH-NG2628,Marvin Windows and Doors,Clad Ultimate Single Hung-NG,32,64,No,DP50,2628 SNGHG,CUSH-NG2628
CUSH-NG2630,Marvin Windows and Doors,Clad Ultimate Single Hung-NG,32,68,No,DP50,2630 SNGHG,CUSH-NG2630
CUSH-NG2632,Marvin Windows and Doors,Clad Ultimate Single Hung-NG,32,72,Yes,DP50,2632 SNGHG,CUSH-NG2632
