,Manufacturer##other##,Window Type##other##,Nominal Width##length##inches,Nominal Height##length##inches,Design Pressure##other##,Description##other##,Model##other##
CUGLP3020,Marvin Windows and Doors,Clad Ultimate Glider Picture Unit,36,24,DP50,3624 FIXED,CUGLP3020
CUGLP3026,Marvin Windows and Doors,Clad Ultimate Glider Picture Unit,36,30,DP50,3630 FIXED,CUGLP3026
CUGLP3030,Marvin Windows and Doors,Clad Ultimate Glider Picture Unit,36,36,DP50,3636 FIXED,CUGLP3030
CUGLP3036,Marvin Windows and Doors,Clad Ultimate Glider Picture Unit,36,42,DP50,3642 FIXED,CUGLP3036
CUGLP3040,Marvin Windows and Doors,Clad Ultimate Glider Picture Unit,36,48,DP50,3648 FIXED,CUGLP3040
CUGLP3046,Marvin Windows and Doors,Clad Ultimate Glider Picture Unit,36,54,DP50,3654 FIXED,CUGLP3046
CUGLP3050,Marvin Windows and Doors,Clad Ultimate Glider Picture Unit,36,60,DP50,3660 FIXED,CUGLP3050
CUGLP3056,Marvin Windows and Doors,Clad Ultimate Glider Picture Unit,36,66,DP50,3666 FIXED,CUGLP3056
CUGLP3060,Marvin Windows and Doors,Clad Ultimate Glider Picture Unit,36,72,DP50,3672 FIXED,CUGLP3060
CUGLP3620,Marvin Windows and Doors,Clad Ultimate Glider Picture Unit,42,24,DP50,4224 FIXED,CUGLP3620
CUGLP3626,Marvin Windows and Doors,Clad Ultimate Glider Picture Unit,42,30,DP50,4230 FIXED,CUGLP3626
CUGLP3630,Marvin Windows and Doors,Clad Ultimate Glider Picture Unit,42,36,DP50,4236 FIXED,CUGLP3630
CUGLP3636,Marvin Windows and Doors,Clad Ultimate Glider Picture Unit,42,42,DP50,4242 FIXED,CUGLP3636
CUGLP3640,Marvin Windows and Doors,Clad Ultimate Glider Picture Unit,42,48,DP50,4248 FIXED,CUGLP3640
CUGLP3646,Marvin Windows and Doors,Clad Ultimate Glider Picture Unit,42,54,DP50,4254 FIXED,CUGLP3646
CUGLP3650,Marvin Windows and Doors,Clad Ultimate Glider Picture Unit,42,60,DP50,4260 FIXED,CUGLP3650
CUGLP3656,Marvin Windows and Doors,Clad Ultimate Glider Picture Unit,42,66,DP50,4266 FIXED,CUGLP3656
CUGLP3660,Marvin Windows and Doors,Clad Ultimate Glider Picture Unit,42,72,DP50,4272 FIXED,CUGLP3660
CUGLP4020,Marvin Windows and Doors,Clad Ultimate Glider Picture Unit,48,24,DP50,4824 FIXED,CUGLP4020
CUGLP4026,Marvin Windows and Doors,Clad Ultimate Glider Picture Unit,48,30,DP50,4830 FIXED,CUGLP4026
CUGLP4030,Marvin Windows and Doors,Clad Ultimate Glider Picture Unit,48,36,DP50,4836 FIXED,CUGLP4030
CUGLP4036,Marvin Windows and Doors,Clad Ultimate Glider Picture Unit,48,42,DP50,4842 FIXED,CUGLP4036
CUGLP4040,Marvin Windows and Doors,Clad Ultimate Glider Picture Unit,48,48,DP50,4848 FIXED,CUGLP4040
CUGLP4046,Marvin Windows and Doors,Clad Ultimate Glider Picture Unit,48,54,DP50,4854 FIXED,CUGLP4046
CUGLP4050,Marvin Windows and Doors,Clad Ultimate Glider Picture Unit,48,60,DP50,4860 FIXED,CUGLP4050
CUGLP4056,Marvin Windows and Doors,Clad Ultimate Glider Picture Unit,48,66,DP50,4866 FIXED,CUGLP4056
CUGLP4060,Marvin Windows and Doors,Clad Ultimate Glider Picture Unit,48,72,DP50,4872 FIXED,CUGLP4060
CUGLP4620,Marvin Windows and Doors,Clad Ultimate Glider Picture Unit,54,24,DP50,5424 FIXED,CUGLP4620
CUGLP4626,Marvin Windows and Doors,Clad Ultimate Glider Picture Unit,54,30,DP50,5430 FIXED,CUGLP4626
CUGLP4630,Marvin Windows and Doors,Clad Ultimate Glider Picture Unit,54,36,DP50,5436 FIXED,CUGLP4630
CUGLP4636,Marvin Windows and Doors,Clad Ultimate Glider Picture Unit,54,42,DP50,5442 FIXED,CUGLP4636
CUGLP4640,Marvin Windows and Doors,Clad Ultimate Glider Picture Unit,54,48,DP50,5448 FIXED,CUGLP4640
CUGLP4646,Marvin Windows and Doors,Clad Ultimate Glider Picture Unit,54,54,DP50,5454 FIXED,CUGLP4646
CUGLP4650,Marvin Windows and Doors,Clad Ultimate Glider Picture Unit,54,60,DP50,5460 FIXED,CUGLP4650
CUGLP4656,Marvin Windows and Doors,Clad Ultimate Glider Picture Unit,54,66,DP50,5466 FIXED,CUGLP4656
