,Width##length##inches,Height##length##inches,Radius##length##inches,Rough Width##length##inches,Rough Height##length##inches,Rough Radius##length##inches,Model##other##
"CDGRT RO 17 X 16.625, RAD 20.5",16,16,20,17,16.625,20.5,"CDGRT RO 17 X 16.625, RAD 20.5"
"CDGRT RO 17 X 21.75, RAD 32.0625",16,21,31.5625,17,21.75,32.0625,"CDGRT RO 17 X 21.75, RAD 32.0625"
"CDGRT RO 17 X 26.875, RAD 46.75",16,26,46.25,17,26.875,46.75,"CDGRT RO 17 X 26.875, RAD 46.75"
"CDGRT RO 19 X 18.625, RAD 23",18,18,22.5,19,18.625,23,"CDGRT RO 19 X 18.625, RAD 23"
"CDGRT RO 19 X 23.734, RAD 34.391",18,23,33.891,19,23.734,34.391,"CDGRT RO 19 X 23.734, RAD 34.391"
"CDGRT RO 19 X 28.84375, RAD 48.5625",18,28,48.0625,19,28.84375,48.5625,"CDGRT RO 19 X 28.84375, RAD 48.5625"
"CDGRT RO 21 X 20.625, RAD 25.5",20,20,25,21,20.625,25.5,"CDGRT RO 21 X 20.625, RAD 25.5"
"CDGRT RO 21 X 25.71875, RAD 36.75",20,25,36.25,21,25.71875,36.75,"CDGRT RO 21 X 25.71875, RAD 36.75"
"CDGRT RO 21 X 30.828, RAD 50.5",20,30,50,21,30.828,50.5,"CDGRT RO 21 X 30.828, RAD 50.5"
"CDGRT RO 25 X 24.625, RAD 30.5",24,24,30,25,24.625,30.5,"CDGRT RO 25 X 24.625, RAD 30.5"
"CDGRT RO 25 X 29.703, RAD 41.547",24,29,41.047,25,29.703,41.547,"CDGRT RO 25 X 29.703, RAD 41.547"
"CDGRT RO 25 X 34.797, RAD 54.672",24,34,54.172,25,34.797,54.672,"CDGRT RO 25 X 34.797, RAD 54.672"
"CDGRT RO 29 X 28.625, RAD 35.5",28,28,35,29,28.625,35.5,"CDGRT RO 29 X 28.625, RAD 35.5"
"CDGRT RO 29 X 33.6875, RAD 46.391",28,33,45.891,29,33.6875,46.391,"CDGRT RO 29 X 33.6875, RAD 46.391"
"CDGRT RO 29 X 38.766, RAD 59.078",28,38,58.578,29,38.766,59.078,"CDGRT RO 29 X 38.766, RAD 59.078"
"CDGRT RO 31 X 30.625, RAD 38",30,30,37.5,31,30.625,38,"CDGRT RO 31 X 30.625, RAD 38"
"CDGRT RO 31 X 35.6875, RAD 48.828",30,35,48.328,31,35.6875,48.828,"CDGRT RO 31 X 35.6875, RAD 48.828"
"CDGRT RO 31 X 40.75, RAD 61.32813",30,40,60.82813,31,40.75,61.32813,"CDGRT RO 31 X 40.75, RAD 61.32813"
"CDGRT RO 33 X 32.625, RAD 40.5",32,32,40,33,32.625,40.5,"CDGRT RO 33 X 32.625, RAD 40.5"
"CDGRT RO 33 X 37.6875, RAD 51.28125",32,37,50.78125,33,37.6875,51.28125,"CDGRT RO 33 X 37.6875, RAD 51.28125"
"CDGRT RO 33 X 42.75, RAD 63.625",32,42,63.125,33,42.75,63.625,"CDGRT RO 33 X 42.75, RAD 63.625"
"CDGRT RO 37 X 36.625, RAD 45.5",36,36,45,37,36.625,45.5,"CDGRT RO 37 X 36.625, RAD 45.5"
"CDGRT RO 37 X 41.672, RAD 56.1875",36,41,55.6875,37,41.672,56.1875,"CDGRT RO 37 X 41.672, RAD 56.1875"
"CDGRT RO 37 X 46.734, RAD 68.281",36,46,67.781,37,46.734,68.281,"CDGRT RO 37 X 46.734, RAD 68.281"
"CDGRT RO 41 X 40.625, RAD 50.5",40,40,50,41,40.625,50.5,"CDGRT RO 41 X 40.625, RAD 50.5"
"CDGRT RO 41 X 45.672, RAD 61.125",40,45,60.625,41,45.672,61.125,"CDGRT RO 41 X 45.672, RAD 61.125"
"CDGRT RO 41 X 50.71875, RAD 73",40,50,72.5,41,50.71875,73,"CDGRT RO 41 X 50.71875, RAD 73"
"CDGRT RO 22.25 X 21.875, RAD 27.0625",21.25,21.25,26.5625,22.25,21.875,27.0625,"CDGRT RO 22.25 X 21.875, RAD 27.0625"
"CDGRT RO 22.25 X 26.96875, RAD 38.234",21.25,26.25,37.734,22.25,26.96875,38.234,"CDGRT RO 22.25 X 26.96875, RAD 38.234"
"CDGRT RO 22.25 X 32.0625, RAD 51.766",21.25,31.25,51.266,22.25,32.0625,51.766,"CDGRT RO 22.25 X 32.0625, RAD 51.766"
"CDGRT RO 26.25 X 25.875, RAD 32.0625",25.25,25.25,31.5625,26.25,25.875,32.0625,"CDGRT RO 26.25 X 25.875, RAD 32.0625"
"CDGRT RO 26.25 X 30.984, RAD 43.047",25.25,30.25,42.547,26.25,30.984,43.047,"CDGRT RO 26.25 X 30.984, RAD 43.047"
"CDGRT RO 26.25 X 36.03125, RAD 56.01563",25.25,35.25,55.51563,26.25,36.03125,56.01563,"CDGRT RO 26.25 X 36.03125, RAD 56.01563"
"CDGRT RO 30.25 X 29.875, RAD 37.0625",29.25,29.25,36.5625,30.25,29.875,37.0625,"CDGRT RO 30.25 X 29.875, RAD 37.0625"
"CDGRT RO 30.25 X 34.9375, RAD 47.922",29.25,34.25,47.422,30.25,34.9375,47.922,"CDGRT RO 30.25 X 34.9375, RAD 47.922"
"CDGRT RO 30.25 X 40.01563, RAD 60.484",29.25,39.25,59.984,30.25,40.01563,60.484,"CDGRT RO 30.25 X 40.01563, RAD 60.484"
"CDGRT RO 32.25 X 31.875, RAD 39.5625",31.25,31.25,39.0625,32.25,31.875,39.5625,"CDGRT RO 32.25 X 31.875, RAD 39.5625"
"CDGRT RO 32.25 X 36.9375, RAD 50.359",31.25,36.25,49.859,32.25,36.9375,50.359,"CDGRT RO 32.25 X 36.9375, RAD 50.359"
"CDGRT RO 32.25 X 42, RAD 62.76563",31.25,41.25,62.26563,32.25,42,62.76563,"CDGRT RO 32.25 X 42, RAD 62.76563"
