,Radius##length##inches,Rough Width##length##inches,Width##length##inches,DLO Width##length##inches,Rough Height##length##inches,Height##length##inches,DLO Height##length##inches,Model##other##,Egress Note##other##
CUDHRT-NG2012,13 1/8,26 1/4,25 1/4,18 47/64,44 5/8,44 1/8,10 3/4,CUDHRT-NG2012,No
CUDHRT-NG2014,13 1/8,26 1/4,25 1/4,18 47/64,48 5/8,48 1/8,12 3/4,CUDHRT-NG2014,No
CUDHRT-NG2016,13 1/8,26 1/4,25 1/4,18 47/64,52 5/8,52 1/8,14 3/4,CUDHRT-NG2016,No
CUDHRT-NG2018,13 1/8,26 1/4,25 1/4,18 47/64,56 5/8,56 1/8,16 3/4,CUDHRT-NG2018,No
CUDHRT-NG2020,13 1/8,26 1/4,25 1/4,18 47/64,60 5/8,60 1/8,18 3/4,CUDHRT-NG2020,No
CUDHRT-NG2022,13 1/8,26 1/4,25 1/4,18 47/64,64 5/8,64 1/8,20 3/4,CUDHRT-NG2022,No
CUDHRT-NG2024,13 1/8,26 1/4,25 1/4,18 47/64,68 5/8,68 1/8,22 3/4,CUDHRT-NG2024,No
CUDHRT-NG2026,13 1/8,26 1/4,25 1/4,18 47/64,72 5/8,72 1/8,24 3/4,CUDHRT-NG2026,No
CUDHRT-NG2028,13 1/8,26 1/4,25 1/4,18 47/64,76 5/8,76 1/8,26 3/4,CUDHRT-NG2028,No
CUDHRT-NG2030,13 1/8,26 1/4,25 1/4,18 47/64,80 5/8,80 1/8,28 3/4,CUDHRT-NG2030,No
CUDHRT-NG2032,13 1/8,26 1/4,25 1/4,18 47/64,84 5/8,84 1/8,30 3/4,CUDHRT-NG2032,No
CUDHRT-NG2034,13 1/8,26 1/4,25 1/4,18 47/64,88 5/8,88 1/8,32 3/4,CUDHRT-NG2034,No
CUDHRT-NG2036,13 1/8,26 1/4,25 1/4,18 47/64,92 5/8,92 1/8,34 3/4,CUDHRT-NG2036,No
CUDHRT-NG2040,13 1/8,26 1/4,25 1/4,18 47/64,100 5/8,100 1/8,38 3/4,CUDHRT-NG2040,Yes
CUDHRT-NG2042,13 1/8,26 1/4,25 1/4,18 47/64,104 5/8,104 1/8,40 3/4,CUDHRT-NG2042,Yes
CUDHRT-NG2412,15 1/8,30 1/4,29 1/4,22 47/64,46 5/8,46 1/8,10 3/4,CUDHRT-NG2412,No
CUDHRT-NG2414,15 1/8,30 1/4,29 1/4,22 47/64,50 5/8,50 1/8,12 3/4,CUDHRT-NG2414,No
CUDHRT-NG2416,15 1/8,30 1/4,29 1/4,22 47/64,54 5/8,54 1/8,14 3/4,CUDHRT-NG2416,No
CUDHRT-NG2418,15 1/8,30 1/4,29 1/4,22 47/64,58 5/8,58 1/8,16 3/4,CUDHRT-NG2418,No
CUDHRT-NG2420,15 1/8,30 1/4,29 1/4,22 47/64,62 5/8,62 1/8,18 3/4,CUDHRT-NG2420,No
CUDHRT-NG2422,15 1/8,30 1/4,29 1/4,22 47/64,66 5/8,66 1/8,20 3/4,CUDHRT-NG2422,No
CUDHRT-NG2424,15 1/8,30 1/4,29 1/4,22 47/64,70 5/8,70 1/8,22 3/4,CUDHRT-NG2424,No
CUDHRT-NG2426,15 1/8,30 1/4,29 1/4,22 47/64,74 5/8,74 1/8,24 3/4,CUDHRT-NG2426,No
CUDHRT-NG2428,15 1/8,30 1/4,29 1/4,22 47/64,78 5/8,78 1/8,26 3/4,CUDHRT-NG2428,No
CUDHRT-NG2430,15 1/8,30 1/4,29 1/4,22 47/64,82 5/8,82 1/8,28 3/4,CUDHRT-NG2430,No
CUDHRT-NG2432,15 1/8,30 1/4,29 1/4,22 47/64,86 5/8,86 1/8,30 3/4,CUDHRT-NG2432,No
CUDHRT-NG2434,15 1/8,30 1/4,29 1/4,22 47/64,90 5/8,90 1/8,32 3/4,CUDHRT-NG2434,Yes
CUDHRT-NG2436,15 1/8,30 1/4,29 1/4,22 47/64,94 5/8,94 1/8,34 3/4,CUDHRT-NG2436,Yes
CUDHRT-NG2440,15 1/8,30 1/4,29 1/4,22 47/64,102 5/8,102 1/8,38 3/4,CUDHRT-NG2440,Yes
CUDHRT-NG2442,15 1/8,30 1/4,29 1/4,22 47/64,106 5/8,106 5/8,40 3/4,CUDHRT-NG2442,Yes
CUDHRT-NG2612,16 1/8,32 1/4,31 1/4,24 47/64,47 5/8,47 1/8,10 3/4,CUDHRT-NG2612,No
CUDHRT-NG2614,16 1/8,32 1/4,31 1/4,24 47/64,51 5/8,51 1/8,12 3/4,CUDHRT-NG2614,No
CUDHRT-NG2616,16 1/8,32 1/4,31 1/4,24 47/64,55 5/8,55 1/8,14 3/4,CUDHRT-NG2616,No
CUDHRT-NG2618,16 1/8,32 1/4,31 1/4,24 47/64,59 5/8,59 1/8,16 3/4,CUDHRT-NG2618,No
CUDHRT-NG2620,16 1/8,32 1/4,31 1/4,24 47/64,63 5/8,63 1/8,18 3/4,CUDHRT-NG2620,No
CUDHRT-NG2622,16 1/8,32 1/4,31 1/4,24 47/64,67 5/8,67 1/8,20 3/4,CUDHRT-NG2622,No
CUDHRT-NG2624,16 1/8,32 1/4,31 1/4,24 47/64,71 5/8,71 1/8,22 3/4,CUDHRT-NG2624,No
CUDHRT-NG2626,16 1/8,32 1/4,31 1/4,24 47/64,75 5/8,75 1/8,24 3/4,CUDHRT-NG2626,No
CUDHRT-NG2628,16 1/8,32 1/4,31 1/4,24 47/64,79 5/8,79 1/8,26 3/4,CUDHRT-NG2628,No
CUDHRT-NG2630,16 1/8,32 1/4,31 1/4,24 47/64,83 5/8,83 1/8,28 3/4,CUDHRT-NG2630,No
CUDHRT-NG2632,16 1/8,32 1/4,31 1/4,24 47/64,87 5/8,87 1/8,30 3/4,CUDHRT-NG2632,Yes
CUDHRT-NG2634,16 1/8,32 1/4,31 1/4,24 47/64,91 5/8,91 1/8,32 3/4,CUDHRT-NG2634,Yes
CUDHRT-NG2636,16 1/8,32 1/4,31 1/4,24 47/64,95 5/8,95 1/8,34 3/4,CUDHRT-NG2636,Yes
CUDHRT-NG2640,16 1/8,32 1/4,31 1/4,24 47/64,103 5/8,103 1/8,38 3/4,CUDHRT-NG2640,Yes
CUDHRT-NG2642,16 1/8,32 1/4,31 1/4,24 47/64,107 5/8,107 1/8,40 3/4,CUDHRT-NG2642,Yes
CUDHRT-NG2812,17 1/8,34 1/4,33 1/4,26 47/64,48 5/8,48 1/8,10 3/4,CUDHRT-NG2812,No
CUDHRT-NG2814,17 1/8,34 1/4,33 1/4,26 47/64,52 5/8,52 1/8,12 3/4,CUDHRT-NG2814,No
CUDHRT-NG2816,17 1/8,34 1/4,33 1/4,26 47/64,56 5/8,56 1/8,14 3/4,CUDHRT-NG2816,No
CUDHRT-NG2818,17 1/8,34 1/4,33 1/4,26 47/64,60 5/8,60 1/8,16 3/4,CUDHRT-NG2818,No
CUDHRT-NG2820,17 1/8,34 1/4,33 1/4,26 47/64,64 5/8,64 1/8,18 3/4,CUDHRT-NG2820,No
CUDHRT-NG2822,17 1/8,34 1/4,33 1/4,26 47/64,68 5/8,68 1/8,20 3/4,CUDHRT-NG2822,No
CUDHRT-NG2824,17 1/8,34 1/4,33 1/4,26 47/64,72 5/8,72 1/8,22 3/4,CUDHRT-NG2824,No
CUDHRT-NG2826,17 1/8,34 1/4,33 1/4,26 47/64,76 5/8,76 1/8,24 3/4,CUDHRT-NG2826,No
CUDHRT-NG2828,17 1/8,34 1/4,33 1/4,26 47/64,80 5/8,80 1/8,26 3/4,CUDHRT-NG2828,No
CUDHRT-NG2830,17 1/8,34 1/4,33 1/4,26 47/64,84 5/8,84 1/8,28 3/4,CUDHRT-NG2830,Yes
CUDHRT-NG2832,17 1/8,34 1/4,33 1/4,26 47/64,88 5/8,88 1/8,30 3/4,CUDHRT-NG2832,Yes
CUDHRT-NG2834,17 1/8,34 1/4,33 1/4,26 47/64,92 5/8,92 1/8,32 3/4,CUDHRT-NG2834,Yes
CUDHRT-NG2836,17 1/8,34 1/4,33 1/4,26 47/64,96 5/8,96 1/8,34 3/4,CUDHRT-NG2836,Yes
CUDHRT-NG2840,17 1/8,34 1/4,33 1/4,26 47/64,104 5/8,104 1/8,38 3/4,CUDHRT-NG2840,Yes
CUDHRT-NG2842,17 1/8,34 1/4,33 1/4,26 47/64,108 5/8,108 1/8,40 3/4,CUDHRT-NG2842,Yes
CUDHRT-NG3012,18 1/8,36 1/4,35 1/4,28 47/64,49 5/8,49 1/8,10 3/4,CUDHRT-NG3012,No
CUDHRT-NG3014,18 1/8,36 1/4,35 1/4,28 47/64,53 5/8,53 1/8,12 3/4,CUDHRT-NG3014,No
CUDHRT-NG3016,18 1/8,36 1/4,35 1/4,28 47/64,57 5/8,57 1/8,14 3/4,CUDHRT-NG3016,No
CUDHRT-NG3018,18 1/8,36 1/4,35 1/4,28 47/64,61 5/8,61 1/8,16 3/4,CUDHRT-NG3018,No
CUDHRT-NG3020,18 1/8,36 1/4,35 1/4,28 47/64,65 5/8,65 1/8,18 3/4,CUDHRT-NG3020,No
CUDHRT-NG3022,18 1/8,36 1/4,35 1/4,28 47/64,69 5/8,69 1/8,20 3/4,CUDHRT-NG3022,No
CUDHRT-NG3024,18 1/8,36 1/4,35 1/4,28 47/64,73 5/8,73 1/8,22 3/4,CUDHRT-NG3024,No
CUDHRT-NG3026,18 1/8,36 1/4,35 1/4,28 47/64,77 5/8,77 1/8,24 3/4,CUDHRT-NG3026,No
CUDHRT-NG3028,18 1/8,36 1/4,35 1/4,28 47/64,81 5/8,81 1/8,26 3/4,CUDHRT-NG3028,Yes
CUDHRT-NG3030,18 1/8,36 1/4,35 1/4,28 47/64,85 5/8,85 1/8,28 3/4,CUDHRT-NG3030,Yes
CUDHRT-NG3032,18 1/8,36 1/4,35 1/4,28 47/64,89 5/8,89 1/8,30 3/4,CUDHRT-NG3032,Yes
CUDHRT-NG3034,18 1/8,36 1/4,35 1/4,28 47/64,93 5/8,93 1/8,32 3/4,CUDHRT-NG3034,Yes
CUDHRT-NG3036,18 1/8,36 1/4,35 1/4,28 47/64,97 5/8,97 1/8,34 3/4,CUDHRT-NG3036,Yes
CUDHRT-NG3040,18 1/8,36 1/4,35 1/4,28 47/64,105 5/8,105 1/8,38 3/4,CUDHRT-NG3040,Yes
CUDHRT-NG3042,18 1/8,36 1/4,35 1/4,28 47/64,109 5/8,109 1/8,40 3/4,CUDHRT-NG3042,Yes
CUDHRT-NG3212,19 1/8,38 1/4,37 1/4,30 47/64,50 5/8,50 1/8,10 3/4,CUDHRT-NG3212,No
CUDHRT-NG3214,19 1/8,38 1/4,37 1/4,30 47/64,54 5/8,54 1/8,12 3/4,CUDHRT-NG3214,No
CUDHRT-NG3216,19 1/8,38 1/4,37 1/4,30 47/64,58 5/8,58 1/8,14 3/4,CUDHRT-NG3216,No
CUDHRT-NG3218,19 1/8,38 1/4,37 1/4,30 47/64,62 5/8,62 1/8,16 3/4,CUDHRT-NG3218,No
CUDHRT-NG3220,19 1/8,38 1/4,37 1/4,30 47/64,66 5/8,66 1/8,18 3/4,CUDHRT-NG3220,No
CUDHRT-NG3222,19 1/8,38 1/4,37 1/4,30 47/64,70 5/8,70 1/8,20 3/4,CUDHRT-NG3222,No
CUDHRT-NG3224,19 1/8,38 1/4,37 1/4,30 47/64,74 5/8,74 1/8,22 3/4,CUDHRT-NG3224,No
CUDHRT-NG3226,19 1/8,38 1/4,37 1/4,30 47/64,78 5/8,78 1/8,24 3/4,CUDHRT-NG3226,Yes
CUDHRT-NG3228,19 1/8,38 1/4,37 1/4,30 47/64,82 5/8,82 1/8,26 3/4,CUDHRT-NG3228,Yes
CUDHRT-NG3230,19 1/8,38 1/4,37 1/4,30 47/64,86 5/8,86 1/8,28 3/4,CUDHRT-NG3230,Yes
CUDHRT-NG3232,19 1/8,38 1/4,37 1/4,30 47/64,90 5/8,90 1/8,30 3/4,CUDHRT-NG3232,Yes
CUDHRT-NG3234,19 1/8,38 1/4,37 1/4,30 47/64,94 5/8,94 1/8,32 3/4,CUDHRT-NG3234,Yes
CUDHRT-NG3236,19 1/8,38 1/4,37 1/4,30 47/64,98 5/8,98 1/8,34 3/4,CUDHRT-NG3236,Yes
CUDHRT-NG3240,19 1/8,38 1/4,37 1/4,30 47/64,106 5/8,106 1/8,38 3/4,CUDHRT-NG3240,Yes
CUDHRT-NG3242,19 1/8,38 1/4,37 1/4,30 47/64,110 5/8,110 1/8,40 3/4,CUDHRT-NG3242,Yes
CUDHRT-NG3612,21 1/8,42 1/4,41 1/4,34 47/64,52 5/8,52 1/8,10 3/4,CUDHRT-NG3612,No
CUDHRT-NG3614,21 1/8,42 1/4,41 1/4,34 47/64,56 5/8,56 1/8,12 3/4,CUDHRT-NG3614,No
CUDHRT-NG3616,21 1/8,42 1/4,41 1/4,34 47/64,60 5/8,60 1/8,14 3/4,CUDHRT-NG3616,No
