,Radius##length##inches,Width##length##inches,DLO Width##length##inches,Height##length##inches,DLO Height##length##inches,Model##other##,Egress Note##other##
CUDHRT-NG1612,24,21  1/4 ,14 47/64,33 63/64,10 3/4,CUDHRT-NG1612,No
CUDHRT-NG1614,24,21  1/4 ,14 47/64,38 63/64,12 3/4,CUDHRT-NG1614,No
CUDHRT-NG1616,24,21  1/4 ,14 47/64,42 63/64,14 3/4,CUDHRT-NG1616,No
CUDHRT-NG1618,24,21  1/4 ,14 47/64,45 63/64,16 3/4,CUDHRT-NG1618,No
CUDHRT-NG1620,24,21  1/4 ,14 47/64,49 63/64,18 3/4,CUDHRT-NG1620,No
CUDHRT-NG1622,24,21  1/4 ,14 47/64,53 63/64,20 3/4,CUDHRT-NG1622,No
CUDHRT-NG1624,24,21  1/4 ,14 47/64,57 63/64,22 3/4,CUDHRT-NG1624,No
CUDHRT-NG1626,24,21  1/4 ,14 47/64,61 63/64,24 3/4,CUDHRT-NG1626,No
CUDHRT-NG1628,24,21  1/4 ,14 47/64,65 63/64,26 3/4,CUDHRT-NG1628,No
CUDHRT-NG1630,24,21  1/4 ,14 47/64,69 63/64,28 3/4,CUDHRT-NG1630,No
CUDHRT-NG1632,24,21  1/4 ,14 47/64,73 63/64,30 3/4,CUDHRT-NG1632,No
CUDHRT-NG1634,24,21  1/4 ,14 47/64,77 63/64,32 3/4,CUDHRT-NG1634,No
CUDHRT-NG1636,24,21  1/4 ,14 47/64,81 63/64,34 3/4,CUDHRT-NG1636,No
CUDHRT-NG1640,24,21  1/4 ,14 47/64,89 63/64,38 3/4,CUDHRT-NG1640,No
CUDHRT-NG1642,24,21  1/4 ,14 47/64,93 63/64,40 3/4,CUDHRT-NG1642,No
CUDHRT-NG1650,24,21  1/4 ,14 47/64,109 63/64,48 3/4,CUDHRT-NG1650,No
CUDHRT-NG2012,24,25 1/4,18 47/64,35  3/32,10 3/4,CUDHRT-NG2012,No
CUDHRT-NG2014,24,25 1/4,18 47/64,39  3/32,12 3/4,CUDHRT-NG2014,No
CUDHRT-NG2016,24,25 1/4,18 47/64,43  3/32,14 3/4,CUDHRT-NG2016,No
CUDHRT-NG2018,24,25 1/4,18 47/64,47  3/32,16 3/4,CUDHRT-NG2018,No
CUDHRT-NG2020,24,25 1/4,18 47/64,51  3/32,18 3/4,CUDHRT-NG2020,No
CUDHRT-NG2022,24,25 1/4,18 47/64,55  3/32,20 3/4,CUDHRT-NG2022,No
CUDHRT-NG2024,24,25 1/4,18 47/64,59  3/32,22 3/4,CUDHRT-NG2024,No
CUDHRT-NG2026,24,25 1/4,18 47/64,63  3/32,24 3/4,CUDHRT-NG2026,No
CUDHRT-NG2028,24,25 1/4,18 47/64,67  3/32,26 3/4,CUDHRT-NG2028,No
CUDHRT-NG2030,24,25 1/4,18 47/64,71  3/32,28 3/4,CUDHRT-NG2030,No
CUDHRT-NG2032,24,25 1/4,18 47/64,75  3/32,30 3/4,CUDHRT-NG2032,No
CUDHRT-NG2034,24,25 1/4,18 47/64,79  3/32,32 3/4,CUDHRT-NG2034,No
CUDHRT-NG2036,24,25 1/4,18 47/64,83  3/32,34 3/4,CUDHRT-NG2036,No
CUDHRT-NG2040,24,25 1/4,18 47/64,91  3/32,38 3/4,CUDHRT-NG2040,Yes
CUDHRT-NG2042,24,25 1/4,18 47/64,95  3/32,40 3/4,CUDHRT-NG2042,Yes
CUDHRT-NG2050,24,25 1/4,18 47/64,111  3/32,48 3/4,CUDHRT-NG2050,Yes
CUDHRT-NG2412,24,29 1/4,22 47/64,36 15/32,10 3/4,CUDHRT-NG2412,No
CUDHRT-NG2414,24,29 1/4,22 47/64,40 15/32,12 3/4,CUDHRT-NG2414,No
CUDHRT-NG2416,24,29 1/4,22 47/64,44 15/32,14 3/4,CUDHRT-NG2416,No
CUDHRT-NG2418,24,29 1/4,22 47/64,48 15/32,16 3/4,CUDHRT-NG2418,No
CUDHRT-NG2420,24,29 1/4,22 47/64,52 15/32,18 3/4,CUDHRT-NG2420,No
CUDHRT-NG2422,24,29 1/4,22 47/64,56 15/32,20 3/4,CUDHRT-NG2422,No
CUDHRT-NG2424,24,29 1/4,22 47/64,60 15/32,22 3/4,CUDHRT-NG2424,No
CUDHRT-NG2426,24,29 1/4,22 47/64,64 15/32,24 3/4,CUDHRT-NG2426,No
CUDHRT-NG2428,24,29 1/4,22 47/64,68 15/32,26 3/4,CUDHRT-NG2428,No
CUDHRT-NG2430,24,29 1/4,22 47/64,72 15/32,28 3/4,CUDHRT-NG2430,No
CUDHRT-NG2432,24,29 1/4,22 47/64,76 15/32,30 3/4,CUDHRT-NG2432,No
CUDHRT-NG2434,24,29 1/4,22 47/64,80 15/32,32 3/4,CUDHRT-NG2434,Yes
CUDHRT-NG2436,24,29 1/4,22 47/64,84 15/32,34 3/4,CUDHRT-NG2436,Yes
CUDHRT-NG2440,24,29 1/4,22 47/64,92 15/32,38 3/4,CUDHRT-NG2440,Yes
CUDHRT-NG2442,24,29 1/4,22 47/64,96 15/32,40 3/4,CUDHRT-NG2442,Yes
CUDHRT-NG2450,24,29 1/4,22 47/64,112 15/32,48 3/4,CUDHRT-NG2450,Yes
CUDHRT-NG2612,30,31 1/4,24 47/64,35 57/64,10 3/4,CUDHRT-NG2612,No
CUDHRT-NG2614,30,31 1/4,24 47/64,39 57/64,12 3/4,CUDHRT-NG2614,No
CUDHRT-NG2616,30,31 1/4,24 47/64,43 57/64,14 3/4,CUDHRT-NG2616,No
CUDHRT-NG2618,30,31 1/4,24 47/64,47 57/64,16 3/4,CUDHRT-NG2618,No
CUDHRT-NG2620,30,31 1/4,24 47/64,51 57/64,18 3/4,CUDHRT-NG2620,No
CUDHRT-NG2622,30,31 1/4,24 47/64,55 57/64,20 3/4,CUDHRT-NG2622,No
CUDHRT-NG2624,30,31 1/4,24 47/64,59 57/64,22 3/4,CUDHRT-NG2624,No
CUDHRT-NG2626,30,31 1/4,24 47/64,63 57/64,24 3/4,CUDHRT-NG2626,No
CUDHRT-NG2628,30,31 1/4,24 47/64,67 57/64,26 3/4,CUDHRT-NG2628,No
CUDHRT-NG2630,30,31 1/4,24 47/64,71 57/64,28 3/4,CUDHRT-NG2630,No
CUDHRT-NG2632,30,31 1/4,24 47/64,75 57/64,30 3/4,CUDHRT-NG2632,Yes
CUDHRT-NG2634,30,31 1/4,24 47/64,79 57/64,32 3/4,CUDHRT-NG2634,Yes
CUDHRT-NG2636,30,31 1/4,24 47/64,83 57/64,34 3/4,CUDHRT-NG2636,Yes
CUDHRT-NG2640,30,31 1/4,24 47/64,91 57/64,38 3/4,CUDHRT-NG2640,Yes
CUDHRT-NG2642,30,31 1/4,24 47/64,95 57/64,40 3/4,CUDHRT-NG2642,Yes
CUDHRT-NG2650,30,31 1/4,24 47/64,111 57/64,48 3/4,CUDHRT-NG2650,Yes
CUDHRT-NG2812,30,33 1/4,26 47/64,36 17/32,10 3/4,CUDHRT-NG2812,No
CUDHRT-NG2814,30,33 1/4,26 47/64,40 17/32,12 3/4,CUDHRT-NG2814,No
CUDHRT-NG2816,30,33 1/4,26 47/64,44 17/32,14 3/4,CUDHRT-NG2816,No
CUDHRT-NG2818,30,33 1/4,26 47/64,48 17/32,16 3/4,CUDHRT-NG2818,No
CUDHRT-NG2820,30,33 1/4,26 47/64,52 17/32,18 3/4,CUDHRT-NG2820,No
CUDHRT-NG2822,30,33 1/4,26 47/64,56 17/32,20 3/4,CUDHRT-NG2822,No
CUDHRT-NG2824,30,33 1/4,26 47/64,60 17/32,22 3/4,CUDHRT-NG2824,No
CUDHRT-NG2826,30,33 1/4,26 47/64,64 17/32,24 3/4,CUDHRT-NG2826,No
CUDHRT-NG2828,30,33 1/4,26 47/64,68 17/32,26 3/4,CUDHRT-NG2828,No
CUDHRT-NG2830,30,33 1/4,26 47/64,72 17/32,28 3/4,CUDHRT-NG2830,Yes
CUDHRT-NG2832,30,33 1/4,26 47/64,76 17/32,30 3/4,CUDHRT-NG2832,Yes
CUDHRT-NG2834,30,33 1/4,26 47/64,80 17/32,32 3/4,CUDHRT-NG2834,Yes
CUDHRT-NG2836,30,33 1/4,26 47/64,84 17/32,34 3/4,CUDHRT-NG2836,Yes
CUDHRT-NG2840,30,33 1/4,26 47/64,92 17/32,38 3/4,CUDHRT-NG2840,Yes
CUDHRT-NG2842,30,33 1/4,26 47/64,96 17/32,40 3/4,CUDHRT-NG2842,Yes
CUDHRT-NG2850,30,33 1/4,26 47/64,112 17/32,48 3/4,CUDHRT-NG2850,Yes
CUDHRT-NG3012,30,35 1/4,28 47/64,37  7/32,10 3/4,CUDHRT-NG3012,No
CUDHRT-NG3014,30,35 1/4,28 47/64,41  7/32,12 3/4,CUDHRT-NG3014,No
CUDHRT-NG3016,30,35 1/4,28 47/64,45  7/32,14 3/4,CUDHRT-NG3016,No
CUDHRT-NG3018,30,35 1/4,28 47/64,49  7/32,16 3/4,CUDHRT-NG3018,No
CUDHRT-NG3020,30,35 1/4,28 47/64,53  7/32,18 3/4,CUDHRT-NG3020,No
CUDHRT-NG3022,30,35 1/4,28 47/64,57  7/32,20 3/4,CUDHRT-NG3022,No
CUDHRT-NG3024,30,35 1/4,28 47/64,61  7/32,22 3/4,CUDHRT-NG3024,No
CUDHRT-NG3026,30,35 1/4,28 47/64,65  7/32,24 3/4,CUDHRT-NG3026,No
CUDHRT-NG3028,30,35 1/4,28 47/64,69  7/32,26 3/4,CUDHRT-NG3028,Yes
CUDHRT-NG3030,30,35 1/4,28 47/64,73  7/32,28 3/4,CUDHRT-NG3030,Yes
CUDHRT-NG3032,30,35 1/4,28 47/64,77  7/32,30 3/4,CUDHRT-NG3032,Yes
CUDHRT-NG3034,30,35 1/4,28 47/64,81  7/32,32 3/4,CUDHRT-NG3034,Yes
CUDHRT-NG3036,30,35 1/4,28 47/64,85  7/32,34 3/4,CUDHRT-NG3036,Yes
CUDHRT-NG3040,30,35 1/4,28 47/64,93  7/32,38 3/4,CUDHRT-NG3040,Yes
CUDHRT-NG3042,30,35 1/4,28 47/64,97  7/32,40 3/4,CUDHRT-NG3042,Yes
CUDHRT-NG3050,30,35 1/4,28 47/64,113  7/32,48 3/4,CUDHRT-NG3050,Yes
CUDHRT-NG3212,40,37 1/4,30 47/64,36  3/32,10 3/4,CUDHRT-NG3212,No
CUDHRT-NG3214,40,37 1/4,30 47/64,40  3/32,12 3/4,CUDHRT-NG3214,No
CUDHRT-NG3216,40,37 1/4,30 47/64,44  3/32,14 3/4,CUDHRT-NG3216,No
CUDHRT-NG3218,40,37 1/4,30 47/64,48  3/32,16 3/4,CUDHRT-NG3218,No
CUDHRT-NG3220,40,37 1/4,30 47/64,52  3/32,18 3/4,CUDHRT-NG3220,No
CUDHRT-NG3222,40,37 1/4,30 47/64,56  3/32,20 3/4,CUDHRT-NG3222,No
CUDHRT-NG3224,40,37 1/4,30 47/64,60  3/32,22 3/4,CUDHRT-NG3224,No
CUDHRT-NG3226,40,37 1/4,30 47/64,64  3/32,24 3/4,CUDHRT-NG3226,Yes
CUDHRT-NG3228,40,37 1/4,30 47/64,68  3/32,26 3/4,CUDHRT-NG3228,Yes
CUDHRT-NG3230,40,37 1/4,30 47/64,72  3/32,28 3/4,CUDHRT-NG3230,Yes
CUDHRT-NG3232,40,37 1/4,30 47/64,76  3/32,30 3/4,CUDHRT-NG3232,Yes
CUDHRT-NG3234,40,37 1/4,30 47/64,80  3/32,32 3/4,CUDHRT-NG3234,Yes
CUDHRT-NG3236,40,37 1/4,30 47/64,84  3/32,34 3/4,CUDHRT-NG3236,Yes
CUDHRT-NG3240,40,37 1/4,30 47/64,92  3/32,38 3/4,CUDHRT-NG3240,Yes
CUDHRT-NG3242,40,37 1/4,30 47/64,96  3/32,40 3/4,CUDHRT-NG3242,Yes
CUDHRT-NG3250,40,37 1/4,30 47/64,112  3/32,48 3/4,CUDHRT-NG3250,Yes
CUDHRT-NG3612,40,41 1/4,34 47/64,37 15/64,10 3/4,CUDHRT-NG3612,No
CUDHRT-NG3614,40,41 1/4,34 47/64,41 15/64,12 3/4,CUDHRT-NG3614,No
CUDHRT-NG3616,40,41 1/4,34 47/64,45 15/64,14 3/4,CUDHRT-NG3616,No
CUDHRT-NG3618,40,41 1/4,34 47/64,49 15/64,16 3/4,CUDHRT-NG3618,No
CUDHRT-NG3620,40,41 1/4,34 47/64,53 15/64,18 3/4,CUDHRT-NG3620,No
CUDHRT-NG3622,40,41 1/4,34 47/64,57 15/64,20 3/4,CUDHRT-NG3622,No
CUDHRT-NG3624,40,41 1/4,34 47/64,61 15/64,22 3/4,CUDHRT-NG3624,No
CUDHRT-NG3626,40,41 1/4,34 47/64,65 15/64,24 3/4,CUDHRT-NG3626,Yes
CUDHRT-NG3628,40,41 1/4,34 47/64,69 15/64,26 3/4,CUDHRT-NG3628,Yes
CUDHRT-NG3630,40,41 1/4,34 47/64,73 15/64,28 3/4,CUDHRT-NG3630,Yes
CUDHRT-NG3632,40,41 1/4,34 47/64,77 15/64,30 3/4,CUDHRT-NG3632,Yes
CUDHRT-NG3634,40,41 1/4,34 47/64,81 15/64,32 3/4,CUDHRT-NG3634,Yes
CUDHRT-NG3636,40,41 1/4,34 47/64,85 15/64,34 3/4,CUDHRT-NG3636,Yes
CUDHRT-NG3640,40,41 1/4,34 47/64,93 15/64,38 3/4,CUDHRT-NG3640,Yes
CUDHRT-NG3642,40,41 1/4,34 47/64,97 15/64,40 3/4,CUDHRT-NG3642,Yes
CUDHRT-NG3650,40,41 1/4,34 47/64,113 15/64,48 3/4,CUDHRT-NG3650,Yes
CUDHRT-NG4012,40,45 1/4,38 47/64,38 33/64,10 3/4,CUDHRT-NG4012,No
CUDHRT-NG4014,40,45 1/4,38 47/64,42 33/64,12 3/4,CUDHRT-NG4014,No
CUDHRT-NG4016,40,45 1/4,38 47/64,46 33/64,14 3/4,CUDHRT-NG4016,No
CUDHRT-NG4018,40,45 1/4,38 47/64,51 33/64,16 3/4,CUDHRT-NG4018,No
CUDHRT-NG4020,40,45 1/4,38 47/64,54 33/64,18 3/4,CUDHRT-NG4020,No
CUDHRT-NG4022,40,45 1/4,38 47/64,58 33/64,20 3/4,CUDHRT-NG4022,No
CUDHRT-NG4024,40,45 1/4,38 47/64,63 33/64,22 3/4,CUDHRT-NG4024,No
CUDHRT-NG4026,40,45 1/4,38 47/64,66 33/64,24 3/4,CUDHRT-NG4026,Yes
CUDHRT-NG4028,40,45 1/4,38 47/64,70 33/64,26 3/4,CUDHRT-NG4028,Yes
CUDHRT-NG4030,40,45 1/4,38 47/64,74 33/64,28 3/4,CUDHRT-NG4030,Yes
CUDHRT-NG4032,40,45 1/4,38 47/64,78 33/64,30 3/4,CUDHRT-NG4032,Yes
CUDHRT-NG4034,40,45 1/4,38 47/64,82 33/64,32 3/4,CUDHRT-NG4034,Yes
CUDHRT-NG4036,40,45 1/4,38 47/64,86 33/64,34 3/4,CUDHRT-NG4036,Yes
CUDHRT-NG4040,40,45 1/4,38 47/64,94 33/64,38 3/4,CUDHRT-NG4040,Yes
CUDHRT-NG4042,40,45 1/4,38 47/64,98 33/64,40 3/4,CUDHRT-NG4042,Yes
CUDHRT-NG4050,40,45 1/4,38 47/64,114 33/64,48 3/4,CUDHRT-NG4050,Yes
CUDHRT-NG4412,40,49 1/4,42 47/64,39 63/64,10 3/4,CUDHRT-NG4412,No
CUDHRT-NG4414,40,49 1/4,42 47/64,43 63/64,12 3/4,CUDHRT-NG4414,No
CUDHRT-NG4416,40,49 1/4,42 47/64,47 63/64,14 3/4,CUDHRT-NG4416,No
CUDHRT-NG4418,40,49 1/4,42 47/64,51 63/64,16 3/4,CUDHRT-NG4418,No
CUDHRT-NG4420,40,49 1/4,42 47/64,55 63/64,18 3/4,CUDHRT-NG4420,No
CUDHRT-NG4422,40,49 1/4,42 47/64,59 63/64,20 3/4,CUDHRT-NG4422,No
CUDHRT-NG4424,40,49 1/4,42 47/64,63 63/64,22 3/4,CUDHRT-NG4424,No
CUDHRT-NG4426,40,49 1/4,42 47/64,67 63/64,24 3/4,CUDHRT-NG4426,Yes
CUDHRT-NG4428,40,49 1/4,42 47/64,71 63/64,26 3/4,CUDHRT-NG4428,Yes
CUDHRT-NG4430,40,49 1/4,42 47/64,75 63/64,28 3/4,CUDHRT-NG4430,Yes
CUDHRT-NG4432,40,49 1/4,42 47/64,79 63/64,30 3/4,CUDHRT-NG4432,Yes
CUDHRT-NG4434,40,49 1/4,42 47/64,83 31/64,32 3/4,CUDHRT-NG4434,Yes
CUDHRT-NG4436,40,49 1/4,42 47/64,87 31/64,34 3/4,CUDHRT-NG4436,Yes
CUDHRT-NG4440,40,49 1/4,42 47/64,96 31/64,38 3/4,CUDHRT-NG4440,Yes
CUDHRT-NG4442,40,49 1/4,42 47/64,99 63/64,40 3/4,CUDHRT-NG4442,Yes
CUDHRT-NG4450,40,49 1/4,42 47/64,115 63/64,48 3/4,CUDHRT-NG4450,Yes
CUDHRT-NG4812,54,53 1/4,46 47/64,38 33/64,10 3/4,CUDHRT-NG4812,No
CUDHRT-NG4814,54,53 1/4,46 47/64,42 33/64,12 3/4,CUDHRT-NG4814,No
CUDHRT-NG4816,54,53 1/4,46 47/64,46 33/64,14 3/4,CUDHRT-NG4816,No
