,Radius##length##inches,Rough Width##length##inches,Width##length##inches,DLO Width##length##inches,Rough Height##length##inches,Height##length##inches,DLO Height##length##inches,Model##other##
CUSHRT-NG1612,40,22  1/4 ,21  1/4 ,14 47/64,38  7/64,37 39/64,10 3/4,CUSHRT-NG1612
CUSHRT-NG1614,40,22  1/4 ,21  1/4 ,14 47/64,42  7/64,42 39/64,12 3/4,CUSHRT-NG1614
CUSHRT-NG1616,40,22  1/4 ,21  1/4 ,14 47/64,46  7/64,45 39/64,14 3/4,CUSHRT-NG1616
CUSHRT-NG1618,40,22  1/4 ,21  1/4 ,14 47/64,50  7/64,49 39/64,16 3/4,CUSHRT-NG1618
CUSHRT-NG1620,40,22  1/4 ,21  1/4 ,14 47/64,54  7/64,53 39/64,18 3/4,CUSHRT-NG1620
CUSHRT-NG1622,40,22  1/4 ,21  1/4 ,14 47/64,58  7/64,57 39/64,20 3/4,CUSHRT-NG1622
CUSHRT-NG1624,40,22  1/4 ,21  1/4 ,14 47/64,62  7/64,61 39/64,22 3/4,CUSHRT-NG1624
CUSHRT-NG1626,40,22  1/4 ,21  1/4 ,14 47/64,66  7/64,65 39/64,24 3/4,CUSHRT-NG1626
CUSHRT-NG1628,40,22  1/4 ,21  1/4 ,14 47/64,70  7/64,69 39/64,26 3/4,CUSHRT-NG1628
CUSHRT-NG1630,40,22  1/4 ,21  1/4 ,14 47/64,74  7/64,73 39/64,28 3/4,CUSHRT-NG1630
CUSHRT-NG1632,40,22  1/4 ,21  1/4 ,14 47/64,78  7/64,77 39/64,30 3/4,CUSHRT-NG1632
CUSHRT-NG1634,40,22  1/4 ,21  1/4 ,14 47/64,82  7/64,81 39/64,32 3/4,CUSHRT-NG1634
CUSHRT-NG1636,40,22  1/4 ,21  1/4 ,14 47/64,86  7/64,85 39/64,34 3/4,CUSHRT-NG1636
CUSHRT-NG1640,40,22  1/4 ,21  1/4 ,14 47/64,94  7/64,93 39/64,38 3/4,CUSHRT-NG1640
CUSHRT-NG1642,40,22  1/4 ,21  1/4 ,14 47/64,98  7/64,97 39/64,40 3/4,CUSHRT-NG1642
CUSHRT-NG1650,40,22  1/4 ,21  1/4 ,14 47/64,114  7/64,113 39/64,48 3/4,CUSHRT-NG1650
CUSHRT-NG2012,40,26 1/4,25 1/4,18 47/64,40 63/64,40 31/64,10 3/4,CUSHRT-NG2012
CUSHRT-NG2014,40,26 1/4,25 1/4,18 47/64,44 63/64,44 31/64,12 3/4,CUSHRT-NG2014
CUSHRT-NG2016,40,26 1/4,25 1/4,18 47/64,48 63/64,48 31/64,14 3/4,CUSHRT-NG2016
CUSHRT-NG2018,40,26 1/4,25 1/4,18 47/64,52 63/64,52 31/64,16 3/4,CUSHRT-NG2018
CUSHRT-NG2020,40,26 1/4,25 1/4,18 47/64,56 63/64,56 31/64,18 3/4,CUSHRT-NG2020
CUSHRT-NG2022,40,26 1/4,25 1/4,18 47/64,60 63/64,60 31/64,20 3/4,CUSHRT-NG2022
CUSHRT-NG2024,40,26 1/4,25 1/4,18 47/64,64 63/64,64 31/64,22 3/4,CUSHRT-NG2024
CUSHRT-NG2026,40,26 1/4,25 1/4,18 47/64,68 63/64,68 31/64,24 3/4,CUSHRT-NG2026
CUSHRT-NG2028,40,26 1/4,25 1/4,18 47/64,72 63/64,72 31/64,26 3/4,CUSHRT-NG2028
CUSHRT-NG2030,40,26 1/4,25 1/4,18 47/64,76 63/64,76 31/64,28 3/4,CUSHRT-NG2030
CUSHRT-NG2032,40,26 1/4,25 1/4,18 47/64,80 63/64,80 31/64,30 3/4,CUSHRT-NG2032
CUSHRT-NG2034,40,26 1/4,25 1/4,18 47/64,84 63/64,84 31/64,32 3/4,CUSHRT-NG2034
CUSHRT-NG2036,40,26 1/4,25 1/4,18 47/64,88 63/64,88 31/64,34 3/4,CUSHRT-NG2036
CUSHRT-NG2040,40,26 1/4,25 1/4,18 47/64,96 63/64,96 31/64,38 3/4,CUSHRT-NG2040
CUSHRT-NG2042,40,26 1/4,25 1/4,18 47/64,100 63/64,100 31/64,40 3/4,CUSHRT-NG2042
CUSHRT-NG2050,40,26 1/4,25 1/4,18 47/64,116 63/64,116 31/64,48 3/4,CUSHRT-NG2050
CUSHRT-NG2412,54,30 1/4,29 1/4,22 47/64,40 39/64,40  7/64,10 3/4,CUSHRT-NG2412
CUSHRT-NG2414,54,30 1/4,29 1/4,22 47/64,44 39/64,44  7/64,12 3/4,CUSHRT-NG2414
CUSHRT-NG2416,54,30 1/4,29 1/4,22 47/64,48 39/64,48  7/64,14 3/4,CUSHRT-NG2416
CUSHRT-NG2418,54,30 1/4,29 1/4,22 47/64,52 39/64,52  7/64,16 3/4,CUSHRT-NG2418
CUSHRT-NG2420,54,30 1/4,29 1/4,22 47/64,56 39/64,56  7/64,18 3/4,CUSHRT-NG2420
CUSHRT-NG2422,54,30 1/4,29 1/4,22 47/64,60 39/64,60  7/64,20 3/4,CUSHRT-NG2422
CUSHRT-NG2424,54,30 1/4,29 1/4,22 47/64,64 39/64,64  7/64,22 3/4,CUSHRT-NG2424
CUSHRT-NG2426,54,30 1/4,29 1/4,22 47/64,68 39/64,68  7/64,24 3/4,CUSHRT-NG2426
CUSHRT-NG2428,54,30 1/4,29 1/4,22 47/64,72 39/64,72  7/64,26 3/4,CUSHRT-NG2428
CUSHRT-NG2430,54,30 1/4,29 1/4,22 47/64,76 39/64,76  7/64,28 3/4,CUSHRT-NG2430
CUSHRT-NG2432,54,30 1/4,29 1/4,22 47/64,80 39/64,80  7/64,30 3/4,CUSHRT-NG2432
CUSHRT-NG2434,54,30 1/4,29 1/4,22 47/64,84 39/64,84  7/64,32 3/4,CUSHRT-NG2434
CUSHRT-NG2436,54,30 1/4,29 1/4,22 47/64,88 39/64,88  7/64,34 3/4,CUSHRT-NG2436
CUSHRT-NG2440,54,30 1/4,29 1/4,22 47/64,96 39/64,96  7/64,38 3/4,CUSHRT-NG2440
CUSHRT-NG2442,54,30 1/4,29 1/4,22 47/64,100 39/64,100  7/64,40 3/4,CUSHRT-NG2442
CUSHRT-NG2450,54,30 1/4,29 1/4,22 47/64,116 39/64,116  7/64,48 3/4,CUSHRT-NG2450
CUSHRT-NG2612,72,32 1/4,31 1/4,24 47/64,39  9/64,38 41/64,10 3/4,CUSHRT-NG2612
CUSHRT-NG2614,72,32 1/4,31 1/4,24 47/64,43  9/64,42 41/64,12 3/4,CUSHRT-NG2614
CUSHRT-NG2616,72,32 1/4,31 1/4,24 47/64,47  9/64,46 41/64,14 3/4,CUSHRT-NG2616
CUSHRT-NG2618,72,32 1/4,31 1/4,24 47/64,51  9/64,50 41/64,16 3/4,CUSHRT-NG2618
CUSHRT-NG2620,72,32 1/4,31 1/4,24 47/64,55  9/64,54 41/64,18 3/4,CUSHRT-NG2620
CUSHRT-NG2622,72,32 1/4,31 1/4,24 47/64,59  9/64,58 41/64,20 3/4,CUSHRT-NG2622
CUSHRT-NG2624,72,32 1/4,31 1/4,24 47/64,63  9/64,62 41/64,22 3/4,CUSHRT-NG2624
CUSHRT-NG2626,72,32 1/4,31 1/4,24 47/64,67  9/64,66 41/64,24 3/4,CUSHRT-NG2626
CUSHRT-NG2628,72,32 1/4,31 1/4,24 47/64,71  9/64,70 41/64,26 3/4,CUSHRT-NG2628
CUSHRT-NG2630,72,32 1/4,31 1/4,24 47/64,75  9/64,74 41/64,28 3/4,CUSHRT-NG2630
CUSHRT-NG2632,72,32 1/4,31 1/4,24 47/64,79  9/64,78 41/64,30 3/4,CUSHRT-NG2632
CUSHRT-NG2634,72,32 1/4,31 1/4,24 47/64,83  9/64,82 41/64,32 3/4,CUSHRT-NG2634
CUSHRT-NG2636,72,32 1/4,31 1/4,24 47/64,87  9/64,86 41/64,34 3/4,CUSHRT-NG2636
CUSHRT-NG2640,72,32 1/4,31 1/4,24 47/64,95  9/64,94 41/64,38 3/4,CUSHRT-NG2640
CUSHRT-NG2642,72,32 1/4,31 1/4,24 47/64,99  9/64,98 41/64,40 3/4,CUSHRT-NG2642
CUSHRT-NG2650,72,32 1/4,31 1/4,24 47/64,115  9/64,114 41/64,48 3/4,CUSHRT-NG2650
CUSHRT-NG2812,72,34 1/4,33 1/4,26 47/64,40  9/64,39 41/64,10 3/4,CUSHRT-NG2812
CUSHRT-NG2814,72,34 1/4,33 1/4,26 47/64,44  9/64,42 41/64,12 3/4,CUSHRT-NG2814
CUSHRT-NG2816,72,34 1/4,33 1/4,26 47/64,48  9/64,47 41/64,14 3/4,CUSHRT-NG2816
CUSHRT-NG2818,72,34 1/4,33 1/4,26 47/64,52  9/64,51 41/64,16 3/4,CUSHRT-NG2818
CUSHRT-NG2820,72,34 1/4,33 1/4,26 47/64,56  9/64,55 41/64,18 3/4,CUSHRT-NG2820
CUSHRT-NG2822,72,34 1/4,33 1/4,26 47/64,60  9/64,59 41/64,20 3/4,CUSHRT-NG2822
CUSHRT-NG2824,72,34 1/4,33 1/4,26 47/64,64  9/64,63 41/64,22 3/4,CUSHRT-NG2824
CUSHRT-NG2826,72,34 1/4,33 1/4,26 47/64,68  9/64,67 41/64,24 3/4,CUSHRT-NG2826
CUSHRT-NG2828,72,34 1/4,33 1/4,26 47/64,72  9/64,71 41/64,26 3/4,CUSHRT-NG2828
CUSHRT-NG2830,72,34 1/4,33 1/4,26 47/64,76  9/64,75 41/64,28 3/4,CUSHRT-NG2830
CUSHRT-NG2832,72,34 1/4,33 1/4,26 47/64,80  9/64,79 41/64,30 3/4,CUSHRT-NG2832
CUSHRT-NG2834,72,34 1/4,33 1/4,26 47/64,84  9/64,83 41/64,32 3/4,CUSHRT-NG2834
CUSHRT-NG2836,72,34 1/4,33 1/4,26 47/64,88  9/64,87 41/64,34 3/4,CUSHRT-NG2836
CUSHRT-NG2840,72,34 1/4,33 1/4,26 47/64,96  9/64,95 41/64,38 3/4,CUSHRT-NG2840
CUSHRT-NG2842,72,34 1/4,33 1/4,26 47/64,100  9/64,99 41/64,40 3/4,CUSHRT-NG2842
CUSHRT-NG2850,72,34 1/4,33 1/4,26 47/64,116  9/64,115 41/64,48 3/4,CUSHRT-NG2850
CUSHRT-NG3012,72,36 1/4,35 1/4,28 47/64,41  7/32,40 23/32,10 3/4,CUSHRT-NG3012
CUSHRT-NG3014,72,36 1/4,35 1/4,28 47/64,45  7/32,44 23/32,12 3/4,CUSHRT-NG3014
CUSHRT-NG3016,72,36 1/4,35 1/4,28 47/64,49  7/32,48 23/32,14 3/4,CUSHRT-NG3016
CUSHRT-NG3018,72,36 1/4,35 1/4,28 47/64,53  7/32,52 23/32,16 3/4,CUSHRT-NG3018
CUSHRT-NG3020,72,36 1/4,35 1/4,28 47/64,57  7/32,56 23/32,18 3/4,CUSHRT-NG3020
CUSHRT-NG3022,72,36 1/4,35 1/4,28 47/64,61  7/32,60 23/32,20 3/4,CUSHRT-NG3022
CUSHRT-NG3024,72,36 1/4,35 1/4,28 47/64,65  7/32,64 23/32,22 3/4,CUSHRT-NG3024
CUSHRT-NG3026,72,36 1/4,35 1/4,28 47/64,69  7/32,68 23/32,24 3/4,CUSHRT-NG3026
CUSHRT-NG3028,72,36 1/4,35 1/4,28 47/64,73  7/32,72 23/32,26 3/4,CUSHRT-NG3028
CUSHRT-NG3030,72,36 1/4,35 1/4,28 47/64,77  7/32,76 23/32,28 3/4,CUSHRT-NG3030
CUSHRT-NG3032,72,36 1/4,35 1/4,28 47/64,81  7/32,80 23/32,30 3/4,CUSHRT-NG3032
CUSHRT-NG3034,72,36 1/4,35 1/4,28 47/64,85  7/32,84 23/32,32 3/4,CUSHRT-NG3034
CUSHRT-NG3036,72,36 1/4,35 1/4,28 47/64,89  7/32,88 23/32,34 3/4,CUSHRT-NG3036
CUSHRT-NG3040,72,36 1/4,35 1/4,28 47/64,97  7/32,96 23/32,38 3/4,CUSHRT-NG3040
CUSHRT-NG3042,72,36 1/4,35 1/4,28 47/64,101  7/32,100 23/32,40 3/4,CUSHRT-NG3042
CUSHRT-NG3050,72,36 1/4,35 1/4,28 47/64,117  7/32,116 23/32,48 3/4,CUSHRT-NG3050
CUSHRT-NG3212,72,38 1/4,37 1/4,30 47/64,42 25/64,41 57/64,10 3/4,CUSHRT-NG3212
CUSHRT-NG3214,72,38 1/4,37 1/4,30 47/64,46 25/64,45 57/64,12 3/4,CUSHRT-NG3214
CUSHRT-NG3216,72,38 1/4,37 1/4,30 47/64,50 25/64,49 57/64,14 3/4,CUSHRT-NG3216
CUSHRT-NG3218,72,38 1/4,37 1/4,30 47/64,54 25/64,53 57/64,16 3/4,CUSHRT-NG3218
CUSHRT-NG3220,72,38 1/4,37 1/4,30 47/64,58 25/64,57 57/64,18 3/4,CUSHRT-NG3220
CUSHRT-NG3222,72,38 1/4,37 1/4,30 47/64,62 25/64,61 57/64,20 3/4,CUSHRT-NG3222
CUSHRT-NG3224,72,38 1/4,37 1/4,30 47/64,66 25/64,65 57/64,22 3/4,CUSHRT-NG3224
CUSHRT-NG3226,72,38 1/4,37 1/4,30 47/64,70 25/64,69 57/64,24 3/4,CUSHRT-NG3226
CUSHRT-NG3228,72,38 1/4,37 1/4,30 47/64,74 25/64,73 57/64,26 3/4,CUSHRT-NG3228
CUSHRT-NG3230,72,38 1/4,37 1/4,30 47/64,78 25/64,77 57/64,28 3/4,CUSHRT-NG3230
CUSHRT-NG3232,72,38 1/4,37 1/4,30 47/64,82 25/64,81 57/64,30 3/4,CUSHRT-NG3232
CUSHRT-NG3234,72,38 1/4,37 1/4,30 47/64,86 25/64,85 57/64,32 3/4,CUSHRT-NG3234
CUSHRT-NG3236,72,38 1/4,37 1/4,30 47/64,90 25/64,89 57/64,34 3/4,CUSHRT-NG3236
CUSHRT-NG3240,72,38 1/4,37 1/4,30 47/64,98 25/64,97 57/64,38 3/4,CUSHRT-NG3240
CUSHRT-NG3242,72,38 1/4,37 1/4,30 47/64,102 25/64,101 57/64,40 3/4,CUSHRT-NG3242
CUSHRT-NG3250,72,38 1/4,37 1/4,30 47/64,118 25/64,117 57/64,48 3/4,CUSHRT-NG3250
CUSHRT-NG3612,84,42 1/4,41 1/4,34 47/64,42 53/64,42 21/64,10 3/4,CUSHRT-NG3612
CUSHRT-NG3614,84,42 1/4,41 1/4,34 47/64,46 53/64,46 21/64,12 3/4,CUSHRT-NG3614
CUSHRT-NG3616,84,42 1/4,41 1/4,34 47/64,50 53/64,50 21/64,14 3/4,CUSHRT-NG3616
CUSHRT-NG3618,84,42 1/4,41 1/4,34 47/64,54 53/64,54 21/64,16 3/4,CUSHRT-NG3618
CUSHRT-NG3620,84,42 1/4,41 1/4,34 47/64,58 53/64,58 21/64,18 3/4,CUSHRT-NG3620
CUSHRT-NG3622,84,42 1/4,41 1/4,34 47/64,62 53/64,62 21/64,20 3/4,CUSHRT-NG3622
CUSHRT-NG3624,84,42 1/4,41 1/4,34 47/64,66 53/64,66 21/64,22 3/4,CUSHRT-NG3624
CUSHRT-NG3626,84,42 1/4,41 1/4,34 47/64,70 53/64,70 21/64,24 3/4,CUSHRT-NG3626
CUSHRT-NG3628,84,42 1/4,41 1/4,34 47/64,74 53/64,74 21/64,26 3/4,CUSHRT-NG3628
CUSHRT-NG3630,84,42 1/4,41 1/4,34 47/64,78 53/64,78 21/64,28 3/4,CUSHRT-NG3630
CUSHRT-NG3632,84,42 1/4,41 1/4,34 47/64,82 53/64,82 21/64,30 3/4,CUSHRT-NG3632
CUSHRT-NG3634,84,42 1/4,41 1/4,34 47/64,86 53/64,86 21/64,32 3/4,CUSHRT-NG3634
CUSHRT-NG3636,84,42 1/4,41 1/4,34 47/64,90 53/64,90 21/64,34 3/4,CUSHRT-NG3636
CUSHRT-NG3640,84,42 1/4,41 1/4,34 47/64,98 53/64,98 21/64,38 3/4,CUSHRT-NG3640
CUSHRT-NG3642,84,42 1/4,41 1/4,34 47/64,102 53/64,102 21/64,40 3/4,CUSHRT-NG3642
CUSHRT-NG3650,84,42 1/4,41 1/4,34 47/64,118 53/64,118 21/64,48 3/4,CUSHRT-NG3650
CUSHRT-NG4012,84,46 1/4,45 1/4,38 47/64,45 15/64,44 47/64,10 3/4,CUSHRT-NG4012
CUSHRT-NG4014,84,46 1/4,45 1/4,38 47/64,49 15/64,48 47/64,12 3/4,CUSHRT-NG4014
