,Manufacturer##other##,Window Type##other##,Nominal Width##length##inches,Nominal Height##length##inches,Design Pressure##other##,Description##other##,Model##other## 
CUCACNR1614,Marvin Windows and Doors,Clad Ultimate Casement Corner Unit,16,14,Not Rated,FIXED CRNR,CUCACNR1614
CUCACNR1616,Marvin Windows and Doors,Clad Ultimate Casement Corner Unit,16,16,Not Rated,FIXED CRNR,CUCACNR1616
CUCACNR1618,Marvin Windows and Doors,Clad Ultimate Casement Corner Unit,16,18,Not Rated,FIXED CRNR,CUCACNR1618
CUCACNR1620,Marvin Windows and Doors,Clad Ultimate Casement Corner Unit,16,20,Not Rated,FIXED CRNR,CUCACNR1620
CUCACNR1624,Marvin Windows and Doors,Clad Ultimate Casement Corner Unit,16,24,Not Rated,FIXED CRNR,CUCACNR1624
CUCACNR1628,Marvin Windows and Doors,Clad Ultimate Casement Corner Unit,16,28,Not Rated,FIXED CRNR,CUCACNR1628
CUCACNR1632,Marvin Windows and Doors,Clad Ultimate Casement Corner Unit,16,32,Not Rated,FIXED CRNR,CUCACNR1632
CUCACNR1636,Marvin Windows and Doors,Clad Ultimate Casement Corner Unit,16,36,Not Rated,FIXED CRNR,CUCACNR1636
CUCACNR1640,Marvin Windows and Doors,Clad Ultimate Casement Corner Unit,16,40,Not Rated,FIXED CRNR,CUCACNR1640
CUCACNR1644,Marvin Windows and Doors,Clad Ultimate Casement Corner Unit,16,44,Not Rated,FIXED CRNR,CUCACNR1644
CUCACNR1648,Marvin Windows and Doors,Clad Ultimate Casement Corner Unit,16,48,Not Rated,FIXED CRNR,CUCACNR1648
CUCACNR1654,Marvin Windows and Doors,Clad Ultimate Casement Corner Unit,16,54,Not Rated,FIXED CRNR,CUCACNR1654
CUCACNR1656,Marvin Windows and Doors,Clad Ultimate Casement Corner Unit,16,56,Not Rated,FIXED CRNR,CUCACNR1656
CUCACNR1660,Marvin Windows and Doors,Clad Ultimate Casement Corner Unit,16,60,Not Rated,FIXED CRNR,CUCACNR1660
CUCACNR1664,Marvin Windows and Doors,Clad Ultimate Casement Corner Unit,16,64,Not Rated,FIXED CRNR,CUCACNR1664
CUCACNR1672,Marvin Windows and Doors,Clad Ultimate Casement Corner Unit,16,72,Not Rated,FIXED CRNR,CUCACNR1672
CUCACNR1678,Marvin Windows and Doors,Clad Ultimate Casement Corner Unit,16,78,Not Rated,FIXED CRNR,CUCACNR1678
CUCACNR1684,Marvin Windows and Doors,Clad Ultimate Casement Corner Unit,16,84,Not Rated,FIXED CRNR,CUCACNR1684
CUCACNR1692,Marvin Windows and Doors,Clad Ultimate Casement Corner Unit,16,92,Not Rated,FIXED CRNR,CUCACNR1692
CUCACNR1696,Marvin Windows and Doors,Clad Ultimate Casement Corner Unit,16,96,Not Rated,FIXED CRNR,CUCACNR1696
CUCACNR1814,Marvin Windows and Doors,Clad Ultimate Casement Corner Unit,18,14,Not Rated,FIXED CRNR,CUCACNR1814
CUCACNR1816,Marvin Windows and Doors,Clad Ultimate Casement Corner Unit,18,16,Not Rated,FIXED CRNR,CUCACNR1816
CUCACNR1818,Marvin Windows and Doors,Clad Ultimate Casement Corner Unit,18,18,Not Rated,FIXED CRNR,CUCACNR1818
CUCACNR1820,Marvin Windows and Doors,Clad Ultimate Casement Corner Unit,18,20,Not Rated,FIXED CRNR,CUCACNR1820
CUCACNR1824,Marvin Windows and Doors,Clad Ultimate Casement Corner Unit,18,24,Not Rated,FIXED CRNR,CUCACNR1824
CUCACNR1828,Marvin Windows and Doors,Clad Ultimate Casement Corner Unit,18,28,Not Rated,FIXED CRNR,CUCACNR1828
CUCACNR1832,Marvin Windows and Doors,Clad Ultimate Casement Corner Unit,18,32,Not Rated,FIXED CRNR,CUCACNR1832
