,Width##LENGTH##INCHES, Height##LENGTH##INCHES,Model##OTHER##,Description##OTHER##,Clad Frame##OTHER##,Frame##OTHER##,Exterior Simulite##OTHER##,Exterior Panel Material##OTHER##
C-WA-1818 Clad,18,18,C-WA-1818,Clad Standard Awning Window,1,Paint - Sierra Pacific - White 001,Paint - Sierra Pacific - White 001,Paint - Sierra Pacific - White 001
C-WA-1824 Clad,18,24,C-WA-1824,Clad Standard Awning Window,1,Paint - Sierra Pacific - White 001,Paint - Sierra Pacific - White 001,Paint - Sierra Pacific - White 001
C-WA-1830 Clad,18,30,C-WA-1830,Clad Standard Awning Window,1,Paint - Sierra Pacific - White 001,Paint - Sierra Pacific - White 001,Paint - Sierra Pacific - White 001
C-WA-1836 Clad,18,36,C-WA-1836,Clad Standard Awning Window,1,Paint - Sierra Pacific - White 001,Paint - Sierra Pacific - White 001,Paint - Sierra Pacific - White 001
C-WA-1842 Clad,18,42,C-WA-1842,Clad Standard Awning Window,1,Paint - Sierra Pacific - White 001,Paint - Sierra Pacific - White 001,Paint - Sierra Pacific - White 001
C-WA-1848 Clad,18,48,C-WA-1848,Clad Standard Awning Window,1,Paint - Sierra Pacific - White 001,Paint - Sierra Pacific - White 001,Paint - Sierra Pacific - White 001
C-WA-1854 Clad,18,54,C-WA-1854,Clad Standard Awning Window,1,Paint - Sierra Pacific - White 001,Paint - Sierra Pacific - White 001,Paint - Sierra Pacific - White 001
C-WA-2418 Clad,24,18,C-WA-2418,Clad Standard Awning Window,1,Paint - Sierra Pacific - White 001,Paint - Sierra Pacific - White 001,Paint - Sierra Pacific - White 001
C-WA-2424 Clad,24,24,C-WA-2424,Clad Standard Awning Window,1,Paint - Sierra Pacific - White 001,Paint - Sierra Pacific - White 001,Paint - Sierra Pacific - White 001
C-WA-2430 Clad,24,30,C-WA-2430,Clad Standard Awning Window,1,Paint - Sierra Pacific - White 001,Paint - Sierra Pacific - White 001,Paint - Sierra Pacific - White 001
C-WA-2436 Clad,24,36,C-WA-2436,Clad Standard Awning Window,1,Paint - Sierra Pacific - White 001,Paint - Sierra Pacific - White 001,Paint - Sierra Pacific - White 001
C-WA-2442 Clad,24,42,C-WA-2442,Clad Standard Awning Window,1,Paint - Sierra Pacific - White 001,Paint - Sierra Pacific - White 001,Paint - Sierra Pacific - White 001
C-WA-2448 Clad,24,48,C-WA-2448,Clad Standard Awning Window,1,Paint - Sierra Pacific - White 001,Paint - Sierra Pacific - White 001,Paint - Sierra Pacific - White 001
C-WA-2454 Clad,24,54,C-WA-2454,Clad Standard Awning Window,1,Paint - Sierra Pacific - White 001,Paint - Sierra Pacific - White 001,Paint - Sierra Pacific - White 001
C-WA-3018 Clad,30,18,C-WA-3018,Clad Standard Awning Window,1,Paint - Sierra Pacific - White 001,Paint - Sierra Pacific - White 001,Paint - Sierra Pacific - White 001
C-WA-3024 Clad,30,24,C-WA-3024,Clad Standard Awning Window,1,Paint - Sierra Pacific - White 001,Paint - Sierra Pacific - White 001,Paint - Sierra Pacific - White 001
C-WA-3030 Clad,30,30,C-WA-3030,Clad Standard Awning Window,1,Paint - Sierra Pacific - White 001,Paint - Sierra Pacific - White 001,Paint - Sierra Pacific - White 001
C-WA-3036 Clad,30,36,C-WA-3036,Clad Standard Awning Window,1,Paint - Sierra Pacific - White 001,Paint - Sierra Pacific - White 001,Paint - Sierra Pacific - White 001
C-WA-3042 Clad,30,42,C-WA-3042,Clad Standard Awning Window,1,Paint - Sierra Pacific - White 001,Paint - Sierra Pacific - White 001,Paint - Sierra Pacific - White 001
C-WA-3048 Clad,30,48,C-WA-3048,Clad Standard Awning Window,1,Paint - Sierra Pacific - White 001,Paint - Sierra Pacific - White 001,Paint - Sierra Pacific - White 001
C-WA-3054 Clad,30,54,C-WA-3054,Clad Standard Awning Window,1,Paint - Sierra Pacific - White 001,Paint - Sierra Pacific - White 001,Paint - Sierra Pacific - White 001
C-WA-3618 Clad,36,18,C-WA-3618,Clad Standard Awning Window,1,Paint - Sierra Pacific - White 001,Paint - Sierra Pacific - White 001,Paint - Sierra Pacific - White 001
C-WA-3624 Clad,36,24,C-WA-3624,Clad Standard Awning Window,1,Paint - Sierra Pacific - White 001,Paint - Sierra Pacific - White 001,Paint - Sierra Pacific - White 001
C-WA-3630 Clad,36,30,C-WA-3630,Clad Standard Awning Window,1,Paint - Sierra Pacific - White 001,Paint - Sierra Pacific - White 001,Paint - Sierra Pacific - White 001
C-WA-3636 Clad,36,36,C-WA-3636,Clad Standard Awning Window,1,Paint - Sierra Pacific - White 001,Paint - Sierra Pacific - White 001,Paint - Sierra Pacific - White 001
