,Manufacturer##other##,Door Type##other##,Nominal Width##length##inches,Nominal Height##length##inches,Design Pressure##other##,Description##other##,Model##other##

CUIFD6068,Marvin Windows and Doors,Clad Ultimate Inswing French Door,72,80,DP40,7280 FR DOOR,CUIFD6068
CUIFD6070,Marvin Windows and Doors,Clad Ultimate Inswing French Door,72,84,DP40,7284 FR DOOR,CUIFD6070
CUIFD6080,Marvin Windows and Doors,Clad Ultimate Inswing French Door,72,96,DP40,7296 FR DOOR,CUIFD6080

CUIFD7668,Marvin Windows and Doors,Clad Ultimate Inswing French Door,90,80,DP40,9080 FR DOOR,CUIFD7668
CUIFD7670,Marvin Windows and Doors,Clad Ultimate Inswing French Door,90,84,DP40,9084 FR DOOR,CUIFD7670
CUIFD7680,Marvin Windows and Doors,Clad Ultimate Inswing French Door,90,96,DP40,9096 FR DOOR,CUIFD7680

CUIFD8068,Marvin Windows and Doors,Clad Ultimate Inswing French Door,96,80,DP40,9680 FR DOOR,CUIFD8068
CUIFD8070,Marvin Windows and Doors,Clad Ultimate Inswing French Door,96,84,DP40,9684 FR DOOR,CUIFD8070
CUIFD8080,Marvin Windows and Doors,Clad Ultimate Inswing French Door,96,96,DP40,9696 FR DOOR,CUIFD8080

CUIFD9066,Marvin Windows and Doors,Clad Ultimate Inswing French Door,108,78,DP40,10878 FR DOOR,CUIFD9066
CUIFD9068,Marvin Windows and Doors,Clad Ultimate Inswing French Door,108,80,DP40,10880 FR DOOR,CUIFD9068
CUIFD9070,Marvin Windows and Doors,Clad Ultimate Inswing French Door,108,84,DP40,10884 FR DOOR,CUIFD9070
CUIFD9080,Marvin Windows and Doors,Clad Ultimate Inswing French Door,108,96,DP40,10896 FR DOOR,CUIFD9080

CUIFD10668,Marvin Windows and Doors,Clad Ultimate Inswing French Door,126,80,DP30,12680 FR DOOR,CUIFD10668
CUIFD10670,Marvin Windows and Doors,Clad Ultimate Inswing French Door,126,84,DP30,12684 FR DOOR,CUIFD10670
CUIFD10680,Marvin Windows and Doors,Clad Ultimate Inswing French Door,126,96,DP30,12696 FR DOOR,CUIFD10680

