,Manufacturer##other##,Door Type##other##,Number of Panels##other##,Nominal Width##length##inches,Nominal Height##length##inches,Design Pressure##other##,Description##other##,Model##other##


CULSP6070_PX-XP,Marvin Windows and Doors,Clad Ultimate Lift and Slide Pocket Door,2,72,84,Not Rated,6070 LSP DOOR,CULSP6070_PX-XP
CULSP8070_PX-XP,Marvin Windows and Doors,Clad Ultimate Lift and Slide Pocket Door,2,96,84,Not Rated,8070 LSP DOOR,CULSP8070_PX-XP
CULSP10070_PX-XP,Marvin Windows and Doors,Clad Ultimate Lift and Slide Pocket Door,2,120,84,Not Rated,10070 LSP DOOR,CULSP10070_PX-XP
CULSP12070_PX-XP,Marvin Windows and Doors,Clad Ultimate Lift and Slide Pocket Door,2,144,84,Not Rated,12070 LSP DOOR,CULSP12070_PX-XP

CULSP6080_PX-XP,Marvin Windows and Doors,Clad Ultimate Lift and Slide Pocket Door,2,72,96,Not Rated,6080 LSP DOOR,CULSP6080_PX-XP
CULSP8080_PX-XP,Marvin Windows and Doors,Clad Ultimate Lift and Slide Pocket Door,2,96,96,Not Rated,8080 LSP DOOR,CULSP8080_PX-XP
CULSP10080_PX-XP,Marvin Windows and Doors,Clad Ultimate Lift and Slide Pocket Door,2,120,96,Not Rated,10080 LSP DOOR,CULSP10080_PX-XP
CULSP12080_PX-XP,Marvin Windows and Doors,Clad Ultimate Lift and Slide Pocket Door,2,144,96,Not Rated,12080 LSP DOOR,CULSP12080_PX-XP

CULSP60100_PX-XP,Marvin Windows and Doors,Clad Ultimate Lift and Slide Pocket Door,2,72,120,Not Rated,60100 LSP DOOR,CULSP60100_PX-XP
CULSP80100_PX-XP,Marvin Windows and Doors,Clad Ultimate Lift and Slide Pocket Door,2,96,120,Not Rated,80100 LSP DOOR,CULSP80100_PX-XP
CULSP100100_PX-XP,Marvin Windows and Doors,Clad Ultimate Lift and Slide Pocket Door,2,120,120,Not Rated,100100 LSP DOOR,CULSP100100_PX-XP
CULSP120100_PX-XP,Marvin Windows and Doors,Clad Ultimate Lift and Slide Pocket Door,2,144,120,Not Rated,120100 LSP DOOR,CULSP120100_PX-XP


CULSP12070_PXX-XXP,Marvin Windows and Doors,Clad Ultimate Lift and Slide Pocket Door,4,144,84,Not Rated,12070 LSP DOOR,CULSP12070_PXX-XXP
CULSP16070_PXX-XXP,Marvin Windows and Doors,Clad Ultimate Lift and Slide Pocket Door,4,192,84,Not Rated,16070 LSP DOOR,CULSP16070_PXX-XXP
CULSP20070_PXX-XXP,Marvin Windows and Doors,Clad Ultimate Lift and Slide Pocket Door,4,240,84,Not Rated,20070 LSP DOOR,CULSP20070_PXX-XXP
CULSP24070_PXX-XXP,Marvin Windows and Doors,Clad Ultimate Lift and Slide Pocket Door,4,288,84,Not Rated,24070 LSP DOOR,CULSP24070_PXX-XXP


CULSP12080_PXX-XXP,Marvin Windows and Doors,Clad Ultimate Lift and Slide Pocket Door,4,144,96,Not Rated,12080 LSP DOOR,CULSP12080_PXX-XXP
CULSP16080_PXX-XXP,Marvin Windows and Doors,Clad Ultimate Lift and Slide Pocket Door,4,192,96,Not Rated,16080 LSP DOOR,CULSP16080_PXX-XXP
