,Manufacturer##other##,Door Type##other##,Number of Panels##other##,Nominal Width##length##inches,Nominal Height##length##inches,Description##other##,Model##other##
CMMSDP6070_PX-XP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,2,72,84,6070 MS DOOR,CMMSDP6070_PX-XP
CMMSDP8070_PX-XP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,2,96,84,8070 MS DOOR,CMMSDP8070_PX-XP
CMMSDP10070_PX-XP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,2,120,84,10070 MS DOOR,CMMSDP10070_PX-XP
CMMSDP12070_PX-XP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,2,144,84,12070 MS DOOR,CMMSDP12070_PX-XP
CMMSDP6080_PX-XP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,2,72,96,6080 MS DOOR,CMMSDP6080_PX-XP
CMMSDP8080_PX-XP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,2,96,96,8080 MS DOOR,CMMSDP8080_PX-XP
CMMSDP10080_PX-XP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,2,120,96,10080 MS DOOR,CMMSDP10080_PX-XP
CMMSDP12080_PX-XP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,2,144,96,12080 MS DOOR,CMMSDP12080_PX-XP
CMMSDP6090_PX-XP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,2,72,108,6090 MS DOOR,CMMSDP6090_PX-XP
CMMSDP8090_PX-XP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,2,96,108,8090 MS DOOR,CMMSDP8090_PX-XP
CMMSDP10090_PX-XP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,2,120,108,10090 MS DOOR,CMMSDP10090_PX-XP
CMMSDP12090_PX-XP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,2,144,108,12090 MS DOOR,CMMSDP12090_PX-XP
CMMSDP60100_PX-XP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,2,72,120,60100 MS DOOR,CMMSDP60100_PX-XP
CMMSDP80100_PX-XP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,2,96,120,80100 MS DOOR,CMMSDP80100_PX-XP
CMMSDP100100_PX-XP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,2,120,120,100100 MS DOOR,CMMSDP100100_PX-XP
