,Manufacturer##other##,Door Type##other##,Number of Panels##other##,Nominal Width##length##inches,Nominal Height##length##inches,Description##other##,Model##other##
CMMSDS12070_OX-XO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,4,144,84,12070 MS DOOR,CMMSDS12070_OX-XO
CMMSDS16070_OX-XO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,4,192,84,16070 MS DOOR,CMMSDS16070_OX-XO
CMMSDS20070_OX-XO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,4,240,84,20070 MS DOOR,CMMSDS20070_OX-XO
CMMSDS24070_OX-XO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,4,288,84,24070 MS DOOR,CMMSDS24070_OX-XO
CMMSDS12080_OX-XO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,4,144,96,12080 MS DOOR,CMMSDS12080_OX-XO
CMMSDS16080_OX-XO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,4,192,96,16080 MS DOOR,CMMSDS16080_OX-XO
CMMSDS20080_OX-XO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,4,240,96,20080 MS DOOR,CMMSDS20080_OX-XO
CMMSDS24080_OX-XO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,4,288,96,24080 MS DOOR,CMMSDS24080_OX-XO
CMMSDS12090_OX-XO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,4,144,108,12090 MS DOOR,CMMSDS12090_OX-XO
CMMSDS16090_OX-XO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,4,192,108,16090 MS DOOR,CMMSDS16090_OX-XO
CMMSDS20090_OX-XO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,4,240,108,20090 MS DOOR,CMMSDS20090_OX-XO
CMMSDS24090_OX-XO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,4,288,108,24090 MS DOOR,CMMSDS24090_OX-XO
CMMSDS120100_OX-XO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,4,144,120,120100 MS DOOR,CMMSDS120100_OX-XO
CMMSDS160100_OX-XO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,4,192,120,160100 MS DOOR,CMMSDS160100_OX-XO
CMMSDS200100_OX-XO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,4,240,120,200100 MS DOOR,CMMSDS200100_OX-XO
CMMSDS240100_OX-XO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,4,288,120,240100 MS DOOR,CMMSDS240100_OX-XO
CMMSDS120120_OX-XO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,4,144,144,120120 MS DOOR,CMMSDS120120_OX-XO
CMMSDS160120_OX-XO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,4,192,144,160120 MS DOOR,CMMSDS160120_OX-XO
CMMSDS200120_OX-XO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,4,240,144,200120 MS DOOR,CMMSDS200120_OX-XO
