,Manufacturer##other##,Door Type##other##,Number of Panels##other##,Nominal Width##length##inches,Nominal Height##length##inches,Description##other##,Model##other##
CMMSDS6070_OX/XO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,2,72,84,6070 MS DOOR,CMMSDS6070_OX/XO
CMMSDS8070_OX/XO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,2,96,84,8070 MS DOOR,CMMSDS8070_OX/XO
CMMSDS10070_OX/XO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,2,120,84,10070 MS DOOR,CMMSDS10070_OX/XO
CMMSDS12070_OX/XO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,2,144,84,12070 MS DOOR,CMMSDS12070_OX/XO
CMMSDS6080_OX/XO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,2,72,96,6080 MS DOOR,CMMSDS6080_OX/XO
CMMSDS8080_OX/XO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,2,96,96,8080 MS DOOR,CMMSDS8080_OX/XO
CMMSDS10080_OX/XO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,2,120,96,10080 MS DOOR,CMMSDS10080_OX/XO
CMMSDS12080_OX/XO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,2,144,96,12080 MS DOOR,CMMSDS12080_OX/XO
CMMSDS6090_OX/XO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,2,72,108,6090 MS DOOR,CMMSDS6090_OX/XO
CMMSDS8090_OX/XO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,2,96,108,8090 MS DOOR,CMMSDS8090_OX/XO
CMMSDS10090_OX/XO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,2,120,108,10090 MS DOOR,CMMSDS10090_OX/XO
CMMSDS12090_OX/XO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,2,144,108,12090 MS DOOR,CMMSDS12090_OX/XO
CMMSDS60100_OX/XO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,2,72,120,60100 MS DOOR,CMMSDS60100_OX/XO
CMMSDS80100_OX/XO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,2,96,120,80100 MS DOOR,CMMSDS80100_OX/XO
CMMSDS100100_OX/XO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,2,120,120,100100 MS DOOR,CMMSDS100100_OX/XO
CMMSDS120100_OX/XO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,2,144,120,120100 MS DOOR,CMMSDS120100_OX/XO
CMMSDS60120_OX/XO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,2,72,144,60120 MS DOOR,CMMSDS60120_OX/XO
