,Manufacturer##other##,Door Type##other##,Number of Panels##other##,Nominal Width##length##inches,Nominal Height##length##inches,Design Pressure##other##,Description##other##,Model##other##,Option Choice_Configuration##other##

CMOBFD2668-1P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,1,30,80,DP50,3080 BFLD DOOR,CMOBFD2668,2
CMOBFD2670-1P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,1,30,84,DP50,3084 BFLD DOOR,CMOBFD2670,2
CMOBFD2680-1P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,1,30,96,DP50,3096 BFLD DOOR,CMOBFD2680,2
CMOBFD2690-1P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,1,30,108,DP40,30108 BFLD DOOR,CMOBFD2690,2
CMOBFD26100-1P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,1,30,120,DP40,30120 BFLD DOOR,CMOBFD26100,2

CMOBFD3068-1P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,1,36,80,DP50,3680 BFLD DOOR,CMOBFD3068,2
CMOBFD3070-1P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,1,36,84,DP50,3684 BFLD DOOR,CMOBFD3070,2
CMOBFD3080-1P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,1,36,96,DP50,3696 BFLD DOOR,CMOBFD3080,2
CMOBFD3090-1P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,1,36,108,DP40,36108 BFLD DOOR,CMOBFD3090,2
CMOBFD30100-1P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,1,36,120,DP40,36120 BFLD DOOR,CMOBFD30100,2

CMOBFD3668-1P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,1,42,80,DP50,4280 BFLD DOOR,CMOBFD3668,2
CMOBFD3670-1P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,1,42,84,DP50,4284 BFLD DOOR,CMOBFD3670,2
CMOBFD3680-1P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,1,42,96,DP50,4296 BFLD DOOR,CMOBFD3680,2
CMOBFD3690-1P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,1,42,108,DP40,42108 BFLD DOOR,CMOBFD3690,2
CMOBFD36100-1P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,1,42,120,DP40,42120 BFLD DOOR,CMOBFD36100,2

CMOBFD5068-2P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,2,60,80,DP50,6080 BFLD DOOR,CMOBFD5068,3
CMOBFD5070-2P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,2,60,84,DP50,6084 BFLD DOOR,CMOBFD5070,3
CMOBFD5080-2P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,2,60,96,DP50,6096 BFLD DOOR,CMOBFD5080,3
CMOBFD5090-2P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,2,60,108,DP40,60108 BFLD DOOR,CMOBFD5090,3
CMOBFD50100-2P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,2,60,120,DP40,60120 BFLD DOOR,CMOBFD50100,3

CMOBFD6068-2P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,2,72,80,DP50,7280 BFLD DOOR,CMOBFD6068,3
