,Manufacturer##other##,Door Type##other##,Nominal Width##length##inches,Nominal Height Door##length##inches,Design Pressure##other##,Description##other##,Model##other##
CUSFD50R66R,Marvin Windows and Doors,Clad Ultimate Sliding French Door-IS Transom,59,78,DP40,6078 SL FR DOOR,CUSFD50R66R
CUSFD60R66R,Marvin Windows and Doors,Clad Ultimate Sliding French Door-IS Transom,71,78,DP40,7278 SL FR DOOR,CUSFD60R66R
CUSFD80R66R,Marvin Windows and Doors,Clad Ultimate Sliding French Door-IS Transom,95,78,DP40,9678 SL FR DOOR,CUSFD80R66R
CUSFD5068,Marvin Windows and Doors,Clad Ultimate Sliding French Door-IS Transom,60,80,DP40,6080 SL FR DOOR,CUSFD5068
CUSFD50R68,Marvin Windows and Doors,Clad Ultimate Sliding French Door-IS Transom,59,80,DP40,6080 SL FR DOOR,CUSFD50R68
CUSFD5070,Marvin Windows and Doors,Clad Ultimate Sliding French Door-IS Transom,60,84,DP40,6084 SL FR DOOR,CUSFD5070
CUSFD50R70,Marvin Windows and Doors,Clad Ultimate Sliding French Door-IS Transom,59,84,DP40,6084 SL FR DOOR,CUSFD50R70
CUSFD5080,Marvin Windows and Doors,Clad Ultimate Sliding French Door-IS Transom,60,96,DP40,6096 SL FR DOOR,CUSFD5080
CUSFD50R80,Marvin Windows and Doors,Clad Ultimate Sliding French Door-IS Transom,59,96,DP40,6096 SL FR DOOR,CUSFD50R80
CUSFD5090,Marvin Windows and Doors,Clad Ultimate Sliding French Door-IS Transom,60,108,DP40,60108 SL FR DOOR,CUSFD5090
CUSFD50R90,Marvin Windows and Doors,Clad Ultimate Sliding French Door-IS Transom,59,108,DP40,60108 SL FR DOOR,CUSFD50R90
CUSFD6068,Marvin Windows and Doors,Clad Ultimate Sliding French Door-IS Transom,72,80,DP40,7280 SL FR DOOR,CUSFD6068
CUSFD60R68,Marvin Windows and Doors,Clad Ultimate Sliding French Door-IS Transom,71,80,DP40,7280 SL FR DOOR,CUSFD60R68
CUSFD6070,Marvin Windows and Doors,Clad Ultimate Sliding French Door-IS Transom,72,84,DP40,7284 SL FR DOOR,CUSFD6070
CUSFD60R70,Marvin Windows and Doors,Clad Ultimate Sliding French Door-IS Transom,71,84,DP40,7284 SL FR DOOR,CUSFD60R70
CUSFD6080,Marvin Windows and Doors,Clad Ultimate Sliding French Door-IS Transom,72,96,DP40,7296 SL FR DOOR,CUSFD6080
CUSFD60R80,Marvin Windows and Doors,Clad Ultimate Sliding French Door-IS Transom,71,96,DP40,7296 SL FR DOOR,CUSFD60R80
CUSFD6090,Marvin Windows and Doors,Clad Ultimate Sliding French Door-IS Transom,72,108,DP40,72108 SL FR DOOR,CUSFD6090
CUSFD60R90,Marvin Windows and Doors,Clad Ultimate Sliding French Door-IS Transom,71,108,DP40,72108 SL FR DOOR,CUSFD60R90
CUSFD6668,Marvin Windows and Doors,Clad Ultimate Sliding French Door-IS Transom,77,80,DP40,7880 SL FR DOOR,CUSFD6668
CUSFD8068,Marvin Windows and Doors,Clad Ultimate Sliding French Door-IS Transom,96,80,DP40,9680 SL FR DOOR,CUSFD8068
CUSFD80R68,Marvin Windows and Doors,Clad Ultimate Sliding French Door-IS Transom,95,80,DP40,9680 SL FR DOOR,CUSFD80R68
CUSFD8070,Marvin Windows and Doors,Clad Ultimate Sliding French Door-IS Transom,96,84,DP40,9684 SL FR DOOR,CUSFD8070
CUSFD80R70,Marvin Windows and Doors,Clad Ultimate Sliding French Door-IS Transom,95,84,DP40,9684 SL FR DOOR,CUSFD80R70
CUSFD8080,Marvin Windows and Doors,Clad Ultimate Sliding French Door-IS Transom,96,96,DP40,9696 SL FR DOOR,CUSFD8080
CUSFD80R80,Marvin Windows and Doors,Clad Ultimate Sliding French Door-IS Transom,95,96,DP40,9696 SL FR DOOR,CUSFD80R80
CUSFD8090,Marvin Windows and Doors,Clad Ultimate Sliding French Door-IS Transom,96,108,DP40,96108 SL FR DOOR,CUSFD8090
CUSFD80R90,Marvin Windows and Doors,Clad Ultimate Sliding French Door-IS Transom,95,108,DP40,96108 SL FR DOOR,CUSFD80R90
